,SNo.,company,amount
110,111,Akzo Nobel India Limited,"610,000.00"
111,112,Megger (India) Private Limited,"610,000.00"
112,113,3D Plm Software Solutions Limited,"598,750.00"
113,114,Lumax Auto Technologies Limited,"568,000.00"
114,115,Te Connectivity India Private Limited,"524,390.00"
115,116,Fullerton India Credit Company Limited,"504,777.00"
116,117,Slk Global Bpo Services Private Limited,"500,000.14"
117,118,Saama Technologies (India) Private Limited,"500,000.00"
118,119,Tieto It Services India Private Limited,"500,000.00"
119,120,Chowgule Industries Private Limited,"500,000.00"
120,121,Avalokiteshvar Valinv Limited,"500,000.00"
121,122,Johnson Controls Automotive Limited,"500,000.00"
122,123,Mtl Instruments Private Limited,"494,960.00"
123,124,Godrej Properties Limited,"425,000.00"
124,125,Ador Powertron Limited,"400,000.00"
125,126,Alicon Castalloy Limited,"395,000.00"
126,127,Exfo Electro-Optical Engineering India Private Limited,"341,939.00"
127,128,Synechron Technologies Private Limited,"341,782.00"
128,129,Fleetguard Filters Private Limited,"325,000.00"
129,130,Baramati Cattlefeeds Pvt Ltd,"300,000.00"
130,131,Tata Capital Housing Finance Limited,"300,000.00"
131,132,Slk Software Services Private Limited,"300,000.00"
132,133,Indiana Gratings Private Limited,"271,000.00"
133,134,Ghatge Patil Industries Limited,"250,000.00"
134,135,Music Broadcast Limited,"208,000.00"
135,136,Vulkan Technologies Private Limited,"200,000.00"
136,137,Siara Engineering Private Limited,"200,000.00"
137,138,Ventura ( India ) Private Limited,"192,000.00"
138,139,Advik Hi-Tech Private Limited,"155,721.00"
139,140,Seco Tools India Private Limited,"150,000.00"
140,141,Fluidomat Limited,"150,000.00"
141,142,Igopl Offshore Private Limited,"150,000.00"
142,143,Kirloskar Ferrous Industries Ltd,"145,575.00"
143,144,Tata Autocomp Systems Limited,"144,000.00"
144,145,Gabriel India Limited,"110,000.00"
145,146,Zylog Plastalloys Private Limited,"102,000.00"
146,147,Ansys Software Private Limited,"100,000.00"
147,148,Fresenius Kabi Oncology Limited,"100,000.00"
148,149,Electronica Finance Limited,"100,000.00"
149,150,Sungard Solutions Software (India) Private Limited,"88,253.00"
150,151,Tropical Clothing Company Private Limited,"30,000.00"
151,152,Nseit Limited,"24,155.89"
152,153,Capita India Private Limited,"21,000.00"
153,154,Tata Value Homes Limited,"20,000.00"
154,155,Emerson Electric Company (India) Private  Limited,"11,000.00"
155,156,City Corporation Limited,"8,260.00"
156,157,Dotex International Limited,"7,222.43"
157,158,Electro Pneumatics And Hydraulics (India) Pvt Ltd,0.00
158,159,Industrial And Prudential Investment Company Limited,0.00
159,160,Spicer India Private Limited,0.00
160,161,Piaggio Vehicles Private Limited,0.00
161,162,Bellflower Properties Private Limited,0.00
162,163,Dar Al-Handasah Consultants (Shair & Partners) India Private Limited,0.00
