,Maharashtra
Ahmednagar,0.0
Akola,665000.0
Amravati,11413722.0
Aurangabad,103839499.0
Beed,0.0
Bhandara,2412321.0
Buldhana,2101671.41
Chandrapur,8433000.0
Dhule,371348.0
Gadchiroli,2251000.0
Gondia,1508000.0
Hingoli,0.0
Jalgaon,0.0
Jalna,259300000.0
Kolhapur,16794381.0
Latur,3391510.0
Mumbai City,345071943.95
Mumbai Suburban,3300000.0
Nagpur,78317875.0
Nanded,2420000.0
Nandurbar,5000000.0
Nashik,106669333.54
Osmanabad,9278539.0
Palghar,16486368.0
Parbhani,140650000.0
Pune,1659898837.5200002
Raigad,12078731.8
Ratnagiri,23081768.99
Sangli,6705918.0
Satara,15741242.02
Sindhudurg,0.0
Solapur,9002631.01
Thane,132264857.64
Wardha,137496774.0
Washim,235000.0
Yavatmal,0.0
