,Punjab
Amritsar,15508500.0
Barnala,1540000.0
Bathinda,3007276.0
Faridkot,0.0
Fatehgarh Sahib,0.0
Fazilka,0.0
Firozpur,2000000.0
Gurdaspur,240460.0
Hoshiarpur,33026000.0
Jalandhar,3404295.0
Kapurthala,6252000.0
Ludhiana,307283045.55
Mansa,395240.0
Moga,360000.0
Mohali,0.0
Muktsar,10500000.0
Pathankot,0.0
Patiala,3175000.0
Rupnagar,0.0
Sangrur,5552000.0
Shahid Bhagat Singh Nagar,0.0
Tarn Taran,0.0
