,Haryana
Ambala,4121000.0
Bhiwani,15980000.0
Charkhi Dadri,0.0
Faridabad,48948848.2
Fatehabad,0.0
Gurugram,522360708.01
Hisar,8096950.0
Jhajjar,19115631.0
Jind,2573030.0
Kaithal,0.0
Karnal,4181650.0
Kurukshetra,1100000.0
Mahendragarh,0.0
Mewat,15352000.0
Palwal,4891000.0
Panchkula,0.0
Panipat,3312000.0
Rewari,662000.0
Rohtak,8000000.0
Sirsa,1500000.0
Sonipat,100950000.0
Yamunanagar,4829000.0
