,SNo.,company,amount
0,1,Ntpc Limited,"14,856,000.00"
1,2,Srs Limited,"10,431,895.00"
2,3,Escorts Limited,"4,600,000.00"
3,4,Jbm Auto Limited,"4,528,000.00"
4,5,Sledgehammer Oil Tools Private Limited.,"4,500,000.00"
5,6,Havells India Limited,"3,900,000.00"
6,7,Pec Limited,"3,279,000.00"
7,8,Srs Real Infrastructure Limited,"2,000,000.00"
8,9,Mahavir Die Casters Pvt. Ltd.,"437,000.00"
9,10,Desiccant Rotors International Private Limited,"201,373.00"
10,11,Niraj Industries Private Limited,"120,000.00"
11,12,Biba Apparels Private Limited,"95,570.00"
12,13,Hindustan Syringes And Medical Devices Limited,10.20
