,Jharkhand
Bokaro,3707581.0
Chatra,0.0
Deoghar,0.0
Dhanbad,499000.0
Dumka,0.0
East Singhbhum,0.0
Garhwa,0.0
Giridih,0.0
Godda,0.0
Gumla,0.0
Hazaribag,975000.0
Jamtara,0.0
Khunti,0.0
Koderma,0.0
Latehar,0.0
Lohardaga,0.0
Pakur,0.0
Palamu,36000.0
Ramgarh,0.0
Ranchi,392000.0
Sahebganj,0.0
Seraikela Kharsawan,0.0
Simdega,0.0
West Singhbhum,0.0
