,Chhattisgarh
Balod,0.0
Baloda Bazar,0.0
Balrampur,0.0
Bastar,60571631.0
Bemetara,0.0
Bijapur,0.0
Bilaspur,3000000.0
Dantewada ,0.0
Dhamtari,0.0
Durg,57919000.0
Gariaband,0.0
Janjgir Champa,2600000.0
Jashpur,2155000.0
Kabirdham,0.0
Kanker,14114000.0
Kondagaon,0.0
Korba,1303303101.0
Koriya,0.0
Mahasamund,0.0
Mungeli,0.0
Narayanpur,0.0
Raigarh,199870885.0
Raipur,130452722.0
Rajnandgaon,11942000.0
Sukma,0.0
Surajpur,0.0
Surguja,4620126.0
