,Manipur
Bishnupur,3200000.0
Chandel,0.0
Churachandpur,0.0
Imphal East,0.0
Imphal West,0.0
Jiribam,0.0
Kakching,0.0
Kamjong,0.0
Kangpokpi,0.0
Noney,0.0
Pherzawl,0.0
Senapati,0.0
Tamenglong,0.0
Tengnoupal,0.0
Thoubal,0.0
Ukhrul,0.0
