,CIN,name_x,name_y
1025,U74899DL1979PTC021614,PURAN ASSOCIATES PRIVATE LIMITED,Puran Associates Private Limited
1026,U74899DL1979ULT021615,CHOWDRY ASSOCIATES,Chowdry Associates
1027,U74899DL1980PTC011074,HELLA INDIA AUTOMOTIVE PRIVATE LIMITED,Hella India Automotive Private Limited
1028,U74899DL1982PTC013266,ATMA RAM BUILDERS PVT LTD,Atma Ram Builders Pvt Ltd
1029,U74899DL1983PTC014946,GANGA KAVERI SEEDS PRIVATE LIMITED,Ganga Kaveri Seeds Private Limited
1030,U74899DL1984PTC018546,A K M SYSTEMS PRIVATE LIMITED,A K M Systems Private Limited
1031,U74899DL1985PLC022363,G.K. WINDING WIRES LIMITED,G.K. Winding Wires Limited
1032,U74899DL1985PTC022696,KARUN CARPETS PRIVATE LIMITED,Karun Carpets Private Limited
1033,U74899DL1993PLC054259,RELIGARE HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,Religare Housing Development Finance Corporation Limited
1034,U74899DL1993PTC052670,SHRIRAM VERITECH SOLUTIONS PRIVATE LIMITED,Shriram Veritech Solutions Private Limited
1035,U74899DL1994PLC063063,GEOENPRO PETROLEUM LIMITED,Geoenpro Petroleum Limited
1036,U74899DL1994PLC063472,NIMBUS INDIA LIMITED,Nimbus India Limited
1037,U74899DL1994PTC060453,CENTURY METAL RECYCLING PRIVATE LIMITED.,Century Metal Recycling Private Limited.
1038,U74899DL1994PTC061287,FUSION MICRO FINANCE PRIVATE LIMITED,Fusion Micro Finance Private Limited
1039,U74899DL1995GOI074649,IFCI FACTORS LIMITED,Ifci Factors Limited
1040,U74899DL1995PLC066645,MINDA STONERIDGE INSTRUMENTS LIMITED,Minda Stoneridge Instruments Limited
1041,U74899DL1995PTC072026,PROVESTMENT SECURITIES PVT. LTD.,Provestment Securities Pvt. Ltd.
1042,U74899DL1997PLC091417,CIRIA INDIA LIMITED,Ciria India Limited
1043,U74899DL1998PLC096206,RMG POLYVINYL INDIA LIMITED,Rmg Polyvinyl India Limited
1044,U74899DL2000PLC107621,IFFCO-TOKIO GENERAL INSURANCE COMPANY LIMITED,Iffco-Tokio General Insurance Company Limited
1045,U74899DL2000PTC109012,BT (INDIA) PRIVATE LIMITED,Bt (India) Private Limited
1046,U74899DL2001PLC111525,BSES YAMUNA POWER LIMITED,Bses Yamuna Power Limited
1047,U74899DL2001PLC111527,BSES RAJDHANI POWER LIMITED,Bses Rajdhani Power Limited
1048,U74899GJ1994PLC066477,HEXA SECURITIES AND FINANCE COMPANY LIMITED,Hexa Securities And Finance Company Limited
1049,U74899PB1995PLC033417,MRS.BECTORS FOOD SPECIALITIES LIMITED,Mrs.Bectors Food Specialities Limited
1050,U74899PN1995PTC139264,RIETER INDIA PRIVATE LIMITED,Rieter India Private Limited
1051,U74899UP1993PLC034039,VACMET INDIA LIMITED,Vacmet India Limited
1052,U74900DL2008PTC176247,MEJA URJA NIGAM PRIVATE LIMITED,Meja Urja Nigam Private Limited
1053,U74900DL2012PTC235889,NUVO CHRYSCAPITAL ADVISORS PRIVATE LIMITED,Nuvo Chryscapital Advisors Private Limited
1054,U74900GJ2009FTC056422,SUNBORNE ENERGY GUJARAT ONE PRIVATE LIMITED,Sunborne Energy Gujarat One Private Limited
1055,U74900KA2011FLC058752,TOYOTA FINANCIAL SERVICES INDIA LIMITED,Toyota Financial Services India Limited
1056,U74900MH1979GAP021087,RELIANCE WELFARE ASSOCIATION,Reliance Welfare Association
1057,U74900MH1985PTC036984,PINKY VENTURES PRIVATE LIMITED,Pinky Ventures Private Limited
1058,U74900MH2006PLC163937,OAIS AUTO FINANCIAL SERVICES LIMITED,Orix Leasing & Financial Services India Limited
1059,U74900TN2007PLC064126,REPCO MICRO FINANCE LIMITED,Repco Micro Finance Limited
1060,U74990GJ2006PTC048000,INTERACTIVE MANPOWER SOLUTION PRIVATE LIMITED,Interactive Manpower Solution Private Limited
1061,U74999DL1951PLC161818,THE INDIA THERMIT CORPORATION LIMITED,The India Thermit Corporation Limited
1062,U74999DL1973PLC006635,ELOFIC INDUSTRIES LIMITED.,Elofic Industries Limited.
1063,U74999DL1998PLC093544,CTM INDIA LIMITED,Ctm India Limited
1064,U74999DL2002PLC118123,AGRICULTURE INSURANCE COMPANY OF INDIA LIMITED,Agriculture Insurance Company Of India Limited
1065,U74999DL2004PLC125090,C L GUPTA EXPORTS LIMITED,C L Gupta Exports Limited
1066,U74999DL2007PLC277039,INDIAN ENERGY EXCHANGE LIMITED,Indian Energy Exchange Limited
1067,U74999DL2010PTC203419,TIM DELHI AIRPORT ADVERTISING PRIVATE LIMITED,Tim Delhi Airport Advertising Private Limited
1068,U74999GJ1988PTC010350,GRAND POLYCOATS COMPANY PRIVATE LIMITED,Grand Polycoats Company Private Limited
1069,U74999HR1958PTC002248,HEMLA EMBROIDERY MILLS PVT LTD,Hemla Embroidery Mills Pvt Ltd
