,0
Hinduja Leyland Finance Limited,11000000
Jyoti Ceramic Industries Private Limited,11000000
Kotak Mahindra Bank Limited,10900000
Flextronics Technologies (India) Private  Limited,10800000
Sri Krishna Pharmaceuticals Limited,10700000
Keihin Fie Private Limited,10600000
Satin Creditcare Network Limited,10500000
Dharmayug Investments Ltd,10500000
L&T; Housing Finance Limited,10500000
S.G.P.Exim Private Limited,10500000
Muthoot Fincorp Limited,10500000
Barclays Securities (India) Private Limited,10400000
Khs Machinery Private Limited,10400000
Bfl Investments & Financial Consultants Private Limited,10300000
Bombay Minerals Limited,10300000
Glenworth Estate Limited,10200000
Nomura Capital (India) Private Limited,10100000
Sunbeam Auto Private Limited,10000000
Bharat Biotech International Limited,10000000
Dsp Merrill Lynch Capital Limited,10000000
Indiabulls Housing Finance Limited,10000000
Pentair Sanmar Limited,10000000
Infina Finance Private Limited,10000000
A. K. Capital Finance Private Limited,10000000
Banik Rubber Industries (India) Private Limited,10000000
J. P. Morgan Advisors India Private Limited,9800000
Royal Sundaram General Insurance Co. Limited,9700000
Infrastructure Leasing And Financial Services Limited,9600000
J.P. Morgan Securities India Private Limited,9200000
V I P Industries Limited,9200000
Vardhman Yarns And Threads Limited,9100000
Tvs Credit Services Limited,9000000
Meridian Chem-Bond Private Limited,9000000
Impetus Infotech (India) Private Limited,9000000
A G Industries Pvt Ltd,9000000
Credit Suisse Finance (India) Private Limited,9000000
Star Union Dai-Ichi Life Insurance Company Limited,9000000
Sandvik Asia Private Limited,9000000
Shriram Life Insurance Company Limited,8800000
J G Hosiery Private Limited,8800000
Mohan Spintex India Limited,8800000
Power System Operation Corporation Limited,8800000
Qube Cinema Technologies Private Limited,8700000
Minix Holdings Private Limited,8700000
Indian Energy Exchange Limited,8700000
Dcb Bank Limited,8700000
V.V.V & Sons Edible Oils Limited,8700000
Computer Age Management Services Private  Limited,8700000
Pricewaterhousecoopers Service Delivery Center (Kolkata) Private Limited,8700000
Parakh Agro Industries Ltd,8600000
P-One Infrastructure Private Limited,8500000
Somany Ceramics Limited,8500000
Steel Strips Wheels Ltd,8400000
Madhya Pradesh Road Development Corporation Limited,8400000
Fiserv India Private Limited,8400000
North Eastern Electric Power Corpn Ltd,8300000
Sangam (India) Limited,8200000
Netcore Solutions Private Limited,8200000
Triumph International (India) Private Limited,8200000
Dollar Industries Limited,8100000
Koso India Private Limited,8100000
Intertek India Private Limited,8100000
Kirloskar Pneumatic Company Limited,8100000
Mahyco Monsanto Biotech (India) Private Limited,8000000
Radiant Corporation Private Limited,8000000
Nhk Spring India Limited,8000000
Deccan Cements Ltd,8000000
Remfry And Sagar Consultants Pvt.Ltd.,7900000
Dhariyal Polymers Pvt Ltd,7900000
Esdee Paints Limited,7900000
Digital Radio (Delhi) Broadcasting Limited,7900000
Lux Industries Limited,7800000
Acg Pharma Technologies Private Limited,7800000
India Infrastructure Finance Company Limited,7800000
Shriram Capital Limited,7700000
M K Agrotech Private Limited,7700000
B.L. Agro Industries Limited,7700000
Koch Chemical Technology Group India Private Limited,7700000
India Motor Parts & Accessories Limited,7700000
Agrocel Industries Private Limited,7700000
Omega Healthcare Management Services Private Limited,7500000
Ocean Interiors Private Limited,7500000
Express Newspapers Private Limited,7500000
Dhl Logistics Private Limited,7500000
Sophos Technologies Private Limited,7500000
Jm Financial Institutional Securities Limited,7400000
Aarti International Limited,7400000
Aym Syntex Limited,7400000
Nosch Labs Private Limited,7400000
Synchrony International Services Private  Limited,7400000
Sai Life Sciences Limited,7300000
Uti Asset Management Company Limited,7300000
The Clearing Corporation Of India Limited,7300000
Reliance Strategic Investments Limited,7300000
Lonsen Kiri Chemical Industries Limited,7300000
Emitec Emission Control Technologies India Private Limited,7200000
Eta Karnataka Estates Limited,7200000
Apm Industries Limited,7100000
Acg Pampac Machines Private Limited,7100000
Bses Yamuna Power Limited,7100000
Xomox Sanmar Limited,7000000
Kapil Consultancy Services Private Limited,7000000
Qrg Enterprises Limited.,7000000
Govik Electricals Private Limited,7000000
Madhu Jayanti International Private Limited,7000000
Utkarsh Micro Finance Limited,7000000
Neon Laboratories Limited,6900000
Magarpatta Township Development And Construction Company Limited,6900000
La Opala R G Limited,6900000
Janalakshmi Financial Services Limited,6800000
Sandoz Private Limited,6800000
Gkn Sinter Metals Private Limited,6800000
Vindhya Telelinks Limited,6800000
Toyo Engineering India Private Limited,6800000
Hi Tech Arai Private Limited,6700000
Sakthi Auto Component Limited,6700000
Ultramarine & Pigments Limited,6700000
The Peerless General Finance & Investment Co Ltd,6700000
Mercer Consulting (India) Private Limited,6700000
Visaka Industries Ltd.,6700000
