,0
Camlin Fine Sciences Limited,2500000
Sim Diam Private Limited,2500000
Kitco Limited,2400000
Elgi Rubber Company Limited,2400000
B C Sen & Company Ltd,2400000
Sumitomo Corporation India Private Limited,2400000
Nikon India Private Limited,2400000
Indo- National Limited,2400000
Kakatiya Cement Sugar And Industries Limited,2400000
Ajwani Infrastructure Private Limited,2400000
Dun & Bradstreet Technologies & Data Services Private Limited,2400000
Pakona Engineers (India)Pvt Ltd,2400000
Arfin India Limited,2400000
Aspire Systems (India) Private Limited,2400000
Idmc Limited,2400000
Pil Mumbai Private Limited,2400000
Ambit Finvest Private Limited,2400000
Il&Fs; Securities Services Limited,2300000
Compucom Software Limited,2300000
Clearcorp Dealing Systems (India) Limited,2300000
Khadim India Limited,2300000
Rhi Clasil Private Limited,2300000
Hero Ecotech Limited,2300000
Pratibha Syntex Limited,2300000
Bic Cello (India) Private Limited,2300000
Orient Blackswan Private Limited,2300000
Innoven Capital India Private Limited,2300000
Hind Offshore Private Limited,2300000
Salesforce.Com India Private Limited,2300000
Greenlam Industries Limited,2300000
S.R. Chaddha Industries Limited,2300000
Vijay Tanks And Vessels Private Limited,2300000
Sterling Software Private Limited,2300000
Tipsons Financial Services Private Limited,2300000
Manba Finance Limited,2300000
K.P. Energy Limited,2300000
Astrazeneca India Private Limited,2300000
Icpa Health Products Ltd,2300000
Tag Corporation Private Limited,2300000
Lakshmi Electrical Control Systems Limited,2300000
Sundaram Dynacast Private Limited,2300000
Veljan Denison Limited,2300000
Idbi Capital Markets & Securities Limited,2300000
Anvil Share And Stock Broking Private Limited,2200000
Assam Edible Oils Limited,2200000
Fieldcore Service Solutions International India Private Limited,2200000
Neutron Enterprises Private Limited,2200000
Disha Eye Hospitals Private Limited,2200000
E-Square Leisure Private Limited,2200000
Seagate Technology Hdd (India) Private Limited,2200000
Nerul Impex Private Limited,2200000
Antares Systems Limited,2200000
Mrs.Bectors Food Specialities Limited,2200000
Power Build Private Limited,2200000
Kloeckner Desma Machinery Private Limited,2200000
Sree Annapoorna Sree Gowrishankar Hotels  Private Limited,2200000
I P Support Services (India) Pvt Ltd,2200000
Ivp Ltd,2200000
Arunachala Logistics Private Limited,2200000
Khemani Distilleries Private Limited,2200000
Lakshmi Life Sciences Limited,2200000
Lakshmi Card Clothing Mfg. Company Private Limited,2200000
Jm Financial Limited,2200000
Bhuruka Gases Limited,2200000
Igus (India) Private Limited,2200000
Ester Industries Limited,2200000
Schneider Electric Systems India Private  Limited,2200000
East India Commodites Private Limited,2200000
Madurai Power Corporation Private Limited,2200000
Zydus Infrastructure Private Limited,2200000
Ad2Pro Media Solutions Private Limited,2200000
Farida Shoes Private Limited,2200000
B & A Limited,2200000
Alliance One Industries India Private Limited,2200000
Penguin Apparels Private Limited,2100000
Raj Television Network Limited,2100000
Ace Manufacturing Systems Limited,2100000
Hd Fire Protect Private Limited,2100000
Arihant Industrial Corporation Limited,2100000
Industrial Investment Trust Limited,2100000
Rubamin Limited,2100000
Blue Cross Laboratories Private Limited,2100000
Sharekhan Commodities Private Limited,2100000
E Care India Private Limited,2100000
Narsi Interior Infrastructures Private Limited,2100000
The Madras Silks India Private Limited,2100000
Shanthi Gears Limited,2100000
Novozymes South Asia Private Limited,2100000
Super Auto India Limited,2100000
Yamazaki Mazak India Private Limited,2100000
Sungard Availability Services (India) Private Limited,2100000
Orient Refractories Limited,2100000
Hirlekar Precision Instruments Private Limited,2100000
K M Sugar Mills Limited,2100000
Keshav Power Limited,2100000
Sanspareils Greenlands Private Limited,2100000
Gupta H.C. Overseas (I) Private Limited,2100000
Ashoka Distillers And Chemicals Pvt Ltd,2100000
Maquet Medical India Private Limited,2000000
Humboldt Wedag India Private Limited,2000000
Dixcy Textiles Private Limited,2000000
Madhya Pradesh Agro Food Industries Limited,2000000
R.P.P Infra Projects Limited,2000000
Gadre Marine Export Pvt Ltd,2000000
Sudiva Spinners Private Limited,2000000
Lakeshore Hospital And Research Centre Limited,2000000
Sagar Manufacturers Private Limited,2000000
Wallace Flour Mills Company Private Limited,2000000
P G Foils Limited,2000000
Elgi Sauer Compressors Limited,2000000
Koppern Maco Services Private Limited,2000000
Encee Aromatics Private Limited,2000000
S.B. Reshellers Private Limited,2000000
A B T Limited,2000000
Bobcards Limited,2000000
Penguin Random House India Private Limited,2000000
Dhunseri Investments Limited,2000000
Emerson Process Management Power And Water Solutions India Private Limited,2000000
Vijaynagar Bio-Tech Private Limited,2000000
Oc Specialities Private Limited,2000000
Pudumjee Pulp And Paper Mills Limited,2000000
Clifford Chance Business Services Private Limited,2000000
Kumar Properties And Real Estate Private  Limited,2000000
Infobeans Technologies Limited,2000000
Basant Agro Tech (India) Limited,2000000
Mastercard Mobile Transactions Solutions  Private Limited,2000000
C.T.R. Manufacturing Industries Limited,2000000
Heubach Colour Private Limited,2000000
Mitsu Private Limited,2000000
Anish Infracon India Private Limited,2000000
Ritika Private Limited,2000000
Abhiraj Trading And Investments Private Limited,2000000
P F I L Securities Limited,2000000
Resin Distributors Limited,2000000
Apax Partners India Advisers Private Limited,2000000
Dee Vee Projects Limited,2000000
Pos-Hyundai Steel Manufacturing India Private Limited,2000000
Daimler Financial Services India Private  Limited,2000000
Ncl Wintech India Limited,2000000
Results Marine Private Limited,2000000
Romsons Scientific And Surgical Industries Private Limited,2000000
Ronuplate Private Limited.,2000000
Matrix Comsec Private Limited,1900000
Ace Multi Axes Systems Limited,1900000
Chandukaka Saraf And Sons Private Limited,1900000
J Thomas & Co Pvt Ltd,1900000
Polyhydron Systems Private Limited,1900000
Arya Omnitalk Wireless Solutions Private  Limited,1900000
Agm India Advisors Private Limited,1900000
Artemis Medicare Services Limited,1900000
Harita Seating Systems Limited,1900000
Halliburton Technology India Private Limited,1900000
Express Infrastructure Private Limited,1900000
Sayaji Industries Limited,1900000
Gp Petroleums Limited,1900000
Abdos Lamitubes Private Limited,1900000
Ginza Industries Ltd.,1900000
Protechsoft Systems Private Limited,1900000
Shivam Autotech Limited,1900000
Cii Guardian International Limited,1900000
Globallogic India Limited,1900000
Ces Limited.,1900000
Mindstix Software Labs Private Limited,1900000
Mixon Holdings Private Limited,1900000
Toyoda Gosei South India Private Limited,1900000
Vinayak Dealer Pvt Ltd,1900000
Acclaris Business Solutions Private Limited,1900000
Rsh Global Private Limited,1900000
Janatics India Private Limited,1900000
Gokul Refoils And Solvent Limited,1900000
Aerospace Materials Private Limited,1900000
Ciria India Limited,1900000
Blue Star Diamonds Private Limited,1900000
Tata Capital Limited,1900000
Reliance Welfare Association,1900000
Aadhar Housing Finance Limited,1900000
Orient Bell Limited,1900000
Acg Inspection Systems Private Limited,1900000
Idfc Bank Limited,1900000
Mpp Technologies Private Limited,1800000
Shingora Textiles Limited,1800000
Yalamanchili Software Exports Limited,1800000
Jdm Credit Services Private Limited,1800000
Ameriprise India Private Limited,1800000
Sumeet Industries Limited,1800000
Ambadi Enterprises Limited,1800000
Pegasystems Worldwide India Private Limited,1800000
Colruyt It Consultancy India Private Limited,1800000
Ptc Industries Limited,1800000
Realpage India Private Limited,1800000
National Scheduled Tribes Finance And Development Corporation Co U S 25,1800000
Lt Foods Limited,1800000
Gp Global Asphalt Private Limited,1800000
Udhay-Vj Realty Private Limited,1800000
Princeton Infrastructure Private Limited,1800000
Bhishma Realty Limited,1800000
Christie'S India Private Limited,1800000
Clsa India Private Limited,1800000
Badulipar Ltd,1800000
Equitas Holdings Limited,1800000
Siddapur Distilleries Limited,1800000
F. C. Sondhi & Co. (India) Private Limited,1800000
The Punjab Produce & Trading Co. Pvt. Ltd.,1800000
Cheyyar Sez Developers Private Limited,1700000
Rockwell Collins (India) Enterprises Private Limited,1700000
Mangalam Fashions Limited,1700000
Tata Business Support Services Limited,1700000
Renew Wind Energy (Mp Two) Private Limited,1700000
Electralloy Special Steel Castings Private Limited,1700000
Polynova Industries Limited,1700000
Mitsubishi Corporation India Private Limited,1700000
Repco Home Finance Limited,1700000
G.K. Winding Wires Limited,1700000
Lotus Wireless Technologies India Private Limited,1700000
Indo Colchem Private Limited,1700000
Ashima Dyecot Private Limited,1700000
Divyashakti Granites Limited,1700000
Jagson Colorchem Limited,1700000
Coral India Finance And Housing Limited,1700000
Ravi Infrabuild Projects Private Limited,1700000
Subros Limited,1700000
Mahle Behr India Private Limited,1700000
Shree Hari Chemicals Export Limited,1700000
Metro Global Business Services Private Limited,1700000
Enam Asset Management Company Private Lmited,1700000
Elan Pharma (India) Private Limited,1700000
The Swastik Safe Deposit And Investments  Ltd,1700000
Suryoday Small Finance Bank Limited,1700000
Eurokids International Private Limited,1700000
S G S India Private Limited,1700000
Subhash Infraengineers Private Limited,1700000
Woodside Fashions Limited,1700000
Bhoruka Power Corporation Limited,1700000
Ajay Industrial Corporation Limited.,1700000
Imi Norgren Herion Private Limited,1700000
Parveen Travels Private Limited,1700000
Hansa Metallics Limited,1700000
Sodium Metal Pvt Ltd,1700000
Hitesh Plastics Private Limited,1700000
Standard Radiators Private Limited,1700000
Sonata Software Limited,1700000
Corpbank Securities Limited,1700000
Minex Metallurgical Company Limited,1600000
Elgi Electric And Industries Limited,1600000
Valmet Automation Private Limited,1600000
Bachhraj Factories Private Limited,1600000
D2S Infrastructures Private Limited,1600000
Tamboli Castings Limited,1600000
Conax Access Systems Private Limited,1600000
Salcomp Manufacturing India Private Limited,1600000
G G S Information Services India Private  Limited,1600000
Jekay International Track Pvt. Ltd.,1600000
Jacobi Carbons India Private Limited,1600000
East India Securities Ltd,1600000
Manaksia Limited,1600000
Johnson Controls (India) Private Limited,1600000
Nirav Mercantile Private Limited,1600000
Kirloskar Chillers Private Limited,1600000
Vapi Care Pharma Private Limited,1600000
Khandelwal Edible Oils Limited,1600000
Jinabakul Forge Private Limited,1600000
Dbxento Systems Private Limited,1600000
Shiv Edibles Limited,1600000
Abco India Private Limited,1600000
Inspiron Engineering Private Limited,1600000
Navin Fluorine International Limited,1600000
Crest Ventures Limited,1600000
Milliman India Private Limited,1600000
Gkn Driveline (India) Limited,1600000
Medi Assist Insurance Tpa Private Limited,1600000
Vimta Labs Limited,1600000
Kashi Vishwanath Textile Mill Private Limited,1600000
Kshema Power And Infrastructure Company Private Limited,1600000
Kapil Chits (Hyderabad) Private Limited,1600000
International Paper (India) Private Limited,1600000
Rushil Decor Limited,1600000
Turakhia Overseas Pvt Ltd,1600000
Mitsubishi Heavy Industries-Vst Diesel Engines Private Limited,1600000
Central India Industries Ltd.,1600000
Better Value Holdings Private Limited,1600000
Golden Goenka Fincorp Limited,1600000
Sree Akkamamba Textiles Ltd,1600000
Morganite Crucible (India) Limited,1500000
Bdr Lifesciences Private Limited,1500000
Marathwada Auto Compo Private Limited,1500000
Ikm Investors Private Limited,1500000
Ebell Fashions Private Limited,1500000
M.S. Khurana Engineering Limited,1500000
Nexteer Automotive India Private Limited,1500000
Patel Infrastructure Private Limited,1500000
Ingenico International India Private Limited,1500000
Momentive Performance Materials (India) Private Limited,1500000
Syntel Solutions (India) Private Limited,1500000
Bang Equity Broking Private Limited,1500000
Gujarat Polyfilms Limited,1500000
Okasa Pharma Private Limited,1500000
Angel Commodities Broking Pvt Ltd,1500000
Elofic Industries Limited.,1500000
Renold Chain India Private Limited,1500000
Apcotex Industries Limited,1500000
Apache Design Solutions Private Limited,1500000
Elgi Ultra Industries Limited,1500000
Mitsui And Co India Private Limited,1500000
Concord Biotech Limited,1500000
Shakti Polyweave Private Limited,1500000
Kushal Tradelink Limited,1500000
Anand Automotive Private Limited,1500000
Genuine Stock Brokers Private Limited,1500000
Shaily Engineering Plastics Limited,1500000
Transpek Industry Limited,1500000
Mystique Realty Private Limited,1500000
Sbicap Trustee Company Limited,1500000
K.S. Overseas Private Limited,1500000
Sanden Vikas (India) Private Limited,1500000
Ghaziabad Precision Products Private Limited,1500000
Amerigo Realty Private Limited,1500000
R.V. Investment And Dealers Ltd,1500000
Agarwal Transport Corporation Private Limited,1500000
Amba Township Private Limited,1500000
Federal-Mogul Goetze (India) Limited,1500000
Ascendas It Park (Chennai) Limited,1500000
Gujarat State Petronet Limited,1500000
Basant Projects Limited,1500000
J. Ray Mcdermott Engineering Services Private Limited,1500000
Meso Private Limited,1500000
Adam Fabriwerk Private Limited,1500000
Citigroup Global Markets India Private Limited,1500000
Metmill Footwear Private Limited,1500000
Esdotcom Support & Software Services Private Limited,1500000
Bmw India Leasing Private Limited,1500000
The Ayer Manis Rubber Estate Limited,1500000
Hb Portfolio Limited,1400000
Man Structurals Private Limited,1400000
Kangaroo Kids Education Limited,1400000
Vardhan Ltd.,1400000
Hm Mercantiles Private Limited,1400000
Autonomy Software Asia Private Limited,1400000
Grand Royale Enterprises Limited,1400000
Ava Cholayil Health Care Private Limited,1400000
Ifci Venture Capital Funds Limited,1400000
Bt (India) Private Limited,1400000
Darshanam Life Space Private Limited,1400000
Sj Contracts Private Limited,1400000
Domex E-Data Private Limited,1400000
Visionary Rcm Infotech (India) Private Limited,1400000
T P Roy Chowdhury & Co Private Limited,1400000
Abc Bearings Limited,1400000
Aries Organics Private Limited,1400000
Shivshakti Agro ( India ) Limited,1400000
Travancore Rubber And Tea Co Ltd,1400000
Emtici Engineering Limited,1400000
Subhash Chemical Industries Private Limited,1400000
Enpro Industries Private Limited,1400000
Armstrong World Industries (India) Private Limited,1400000
Bageecha Glades Private Limited,1400000
Navdeep Chemicals Private Limited,1400000
Obeetee Private Limited,1400000
Wallem Shipmanagement (India) Private Limited,1400000
Radha Soami Food Products Private Limited,1400000
Navjivan Roller Flour And Pulse Mills Private Limited,1400000
Globetrotters Educational Innoventions Private Limited,1400000
Tvs Dynamic Global Freight Services Limited,1400000
Lakhani Dyestuffs Private Limited,1400000
Madhu Silica Private Limited,1400000
Fci Oen Connectors Limited,1400000
Rivaa Exports Limited,1400000
Stahl India Private Limited,1400000
Thakorlal Hiralal Exports Private Limited,1400000
Pentel Stationery (India) Private Limited,1400000
Camart Finance Limited,1400000
Cdsl Ventures Limited,1400000
Virinchi Limited,1400000
Aryan Exporters Private Limited,1400000
Moody International (India) Private Limited,1400000
Sree Satyanarayana Spinning Mills Ltd,1400000
Sripathi Paper And Boards Private Limited,1400000
Srs Finance Limited.,1400000
Seaview Developers Private Limited,1400000
Renew Wind Energy (Ap 3) Private Limited,1400000
Sakthi Auto Ancillary Private Limited,1400000
Legasis Services Private Limited,1300000
A L M Industries Limited,1300000
Salzer Electronics Limited,1300000
The Associated Auto Parts Private Limited,1300000
Spectrum Johnson Tiles Private Limited,1300000
Aavas Financiers Limited,1300000
Genus Electrotech Limited,1300000
Naga Limited,1300000
Forevermark Diamonds Private Limited,1300000
Turtle Limited,1300000
Boi Shareholding Limited,1300000
Auto Ignition Limited,1300000
Hotel Queen Road Private Limited.,1300000
Savera Industries Limited,1300000
Lister Technologies Private Limited,1300000
Desons Holdings And Finance Pvt Ltd,1300000
Nv Realty Private Limited,1300000
Rage Frameworks India Private Limited,1300000
Husco Hydraulics Private Limited,1300000
Industrial Metal Powders (India) Private Limited,1300000
Meriton Infotech Pvt Ltd,1300000
Hyderabad International Trade Expositions Limited,1300000
See Linkages Private Limited,1300000
Coface India Credit Management Services Private Limited,1300000
Global Advertisement Services Private Limited,1300000
J N Marshall Private Limited,1300000
Mahaavir Universal Homes Private Limited,1300000
Andrew Telecommunications India Private Limited,1300000
Futura Commercials Private Limited,1300000
Lucid Colloids Limited,1300000
Elliott Ebara Turbomachinery India Private Limited,1300000
Heidelberg India Private Limited,1300000
Simplex Castings Limited,1300000
Khyati Chemicals Pvt Ltd,1300000
M & B Engineering Limited,1300000
Insight Business Machines Private Limited,1300000
Allen Diesels India Private Limited,1300000
Premier Evolvics Private Limited,1300000
Prasad Gwk Cooltech Private Limited,1300000
Miraj Business Development Private Limited,1300000
Pix Transmissions Ltd,1300000
Bharat Cereals Private Limited,1300000
Pramol Traders Holdings Private Limited,1300000
Ricela Health Foods Limited,1300000
Shrinath Rotopack Private Limited,1300000
Property Ventures (India) Private Limited,1300000
Gulf Oil Lubricants India Limited,1300000
Sanghi Jewellers Private Limited,1300000
Sunil Healthcare Limited,1300000
Nxp India Private Limited,1300000
Navigant Bpm (India) Private Limited,1300000
Garden Silk Mills Limited,1200000
Chorus Call Conferencing Services India Private Limited,1200000
Tcfc Finance Limited,1200000
Arcum Engineering Pvt Ltd,1200000
Gavs Technologies Private Limited,1200000
Cma Cgm Logistics Park (Dadri) Private Limited,1200000
Omori India Private Limited,1200000
Commtel Networks Private Limited,1200000
P B M Polytex Limited,1200000
Anibrain Digital Technologies Private Limited,1200000
Advent India Pe Advisors Private Limited,1200000
Srinivasa Hatcheries Limited,1200000
Marwah Steels Private Limited,1200000
Sudarshan Fiscal Services Pvt Ltd,1200000
Gpt Infraprojects Limited,1200000
Emdee Digitronics Private Limited,1200000
Jehan Numa Palace Hotel Pvt Ltd,1200000
Magna Electro Castings Limited,1200000
Sri Kannapiran Mills Limited,1200000
Payal Properties Private Limited,1200000
Popular Vehicles And Services Private Limited,1200000
Pershing India Operational Services Private Limited,1200000
Mrf Corp Limited,1200000
Dhanki Securities Private Limited,1200000
Ultra International Limited,1200000
Family Health Plan Insurance Tpa Limited,1200000
Croda India Company Private Limited,1200000
Newsmen Associates Ltd,1200000
Maharashtra Scooters Ltd,1200000
Nirma Credit And Capital Private Limited,1200000
The Upper India Couper Paper Mills Company Private Limited,1200000
E-Procurement Technologies Limited,1200000
Client Network Services India Private Limited,1200000
International Conveyors Ltd.,1200000
Orient Technologies Private Limited,1200000
Src Projects Private Limited,1200000
India Shoes Exports Private Limited,1200000
Forbes Marshall Arca Private Limited,1200000
Indoco Remedies Limited,1200000
Pandian Chemicals Limited,1200000
New Silk Route Advisors Private Limited,1200000
Sambandam Spinning Mills Limited,1200000
Bsl Ltd,1200000
Lalithaa Jewellery Mart Private Limited,1200000
Renew Wind Energy (Rajasthan One) Private Limited,1200000
Siemens Industry Software (India) Private Limited,1200000
Themis Medicare Limited,1200000
Pacific Industries Limited,1100000
Putzmeister Concrete Machines Private Limited,1100000
Ess Kay Fincorp Private Limited,1100000
K.L.F. Nirmal Industries Private Limited,1100000
Target Sourcing Services India Private Limited,1100000
Picl (India) Private Limited,1100000
Shardul Securities Limited,1100000
L H Sugar Factories Limited,1100000
Prasuna Vamsikrishna Spinning Mills Private Limited,1100000
Sinclairs Hotels Limited,1100000
Kiri Industries Limited,1100000
Naroda Enviro Projects Limited,1100000
Shri Jagdamba Polymers Limited,1100000
Advent Envirocare Technology Pvt Ltd,1100000
Silver Touch Technologies Limited,1100000
Mag India Industrial Automation Systems Private Limited,1100000
Birla Management Centre Services Limited,1100000
Hinduja Finance Limited,1100000
G.D.Birla Medical Research And Education  Foundation,1100000
Aavishkaar Venture Management Services Private Limited,1100000
Avantel Limited,1100000
Ammann Apollo India Private Limited,1100000
Cial Infrastructures Limited,1100000
Zodiac Finsec And Holdings Limited,1100000
Omidyar Network India Advisors Private Limited,1100000
Future Generali India Insurance Company Limited,1100000
Mehboob Production Private Limited,1100000
Anand Investment Private Limited,1100000
Vizag It Park Limited,1100000
Nexus India Capital Advisors Private Limited,1100000
Rainbow Children'S Medicare Private Limited,1100000
Talbros Engineering Limited,1100000
Technico Industries Limited,1100000
Vimal Coal Private Limited,1100000
Safex Chemicals ( India) Limited,1100000
Gillanders Arbuthnot & Co Ltd,1100000
Godrej Consoveyo Logistics Automation Limited,1100000
Adwaith Lakshmi Industries Limited,1100000
Fainger Leser Valves Pvt Ltd,1100000
Messe Frankfurt Trade Fairs India Private Limited,1100000
Sai Service Agency (Bombay) Private Limited,1100000
Sakthi Finance Limited,1100000
Rsm Estates Limited,1100000
Sundaram Packaging India Private Limited,1100000
Mahavir Coal Corporation Private Limited,1100000
Poona Shims Pvt Ltd,1100000
Essen Multipack Limited,1100000
Sidharth Papers Private Limited,1100000
Sudeep Pharma Private Limited,1100000
New Era India Consultancy Private Limited,1100000
Tata Petrodyne Limited,1100000
The New Piece Goods Bazar Company Limited,1100000
Sri Narasu'S Coffee Company Private Limi Ted,1100000
Hind Filters Limited,1100000
H M A Udyog Private Limited,1100000
Mrc Transolutions Private Limited,1100000
Sim Infosystems Private Limited,1100000
Veekesy Sandals (India) Private Limited,1100000
Inland World Logistics Private Limited,1100000
Rij Engineering Private Limited,1100000
Z F Steering Gear (India) Limited,1100000
Kanchan India Limited,1100000
Control Print Limited,1100000
Ostwal Phoschem (India) Limited,1100000
Macro Bars And Wires (India) Pvt Ltd,1100000
Sunrise Containers Limited,1100000
Eppendorf India Limited,1100000
T S Roadways Pvt Ltd,1000000
Bateli Tea Co Ltd,1000000
Hella India Automotive Private Limited,1000000
Blubay Technologies Private Limited,1000000
Kalyani Investment Company Limited,1000000
Suprabha Protective Products Pvt Ltd,1000000
Allstate Solutions Private Limited,1000000
Bluechip Insurance Broking Private Limited,1000000
Nlmk India Service Center Private Limited,1000000
Sreeleathers Limited,1000000
Career Point Limited,1000000
Etc Agro Processing (India) Private Limited,1000000
Adhunik Industries Limited,1000000
Parry Agro Industries Limited,1000000
Scope T And M Private Limited,1000000
Amar Ujala Publications Limited,1000000
Baby Memorial Hospital Limited,1000000
Axa Parenterals Limited,1000000
Med-El India Private Limited,1000000
Nimbus India Limited,1000000
Ahmedabad Strips Private Limited,1000000
Fortune Intercontinental Private Limited,1000000
Nabard Consultancy Services Private Limited,1000000
Systopic Laboratories Private Limited,1000000
Creative Infocity Limited,1000000
Odisha State Beverages Corporation Limited,1000000
Surya Exim Limited,1000000
Shradha Infraprojects (Nagpur) Limited,1000000
Zota Health Care Limited,1000000
Farida Classic Shoes Private Limited,1000000
Danieli India Limited,1000000
Srs Real Infrastructure Limited,1000000
Toshiba Machine (Chennai) Private Limited,1000000
Fusion Micro Finance Private Limited,1000000
Datavision Systems Private Limited,1000000
Muthoot Microfin Limited,1000000
Innovassynth Technologies (India ) Limited,1000000
Vistaar Financial Services Private Limited,1000000
Tulip Diagnostics Private Limited,1000000
Hdfc Asset Management Company Limited,1000000
Fortuna Engineering Private Limited,1000000
Lucy Electric India Private Limited,1000000
Fimakem India Limited,1000000
Deeplok Securities Limited,1000000
West Bengalstate Electricity Transmission Company Limited,1000000
Vinati Organics Limited,1000000
Kiran Vyapar Ltd.,1000000
Intelligent Infrastructure Limited,1000000
Daulat Financial Services Pvt Ltd,1000000
General Mills India Private Limited,1000000
Catapharma Chemicals Private Limited,1000000
S & Ib Services Private Limited,1000000
Mil Industries Limited,1000000
Prathishta Weaving And Knitting Company Limited,1000000
Angel Fincap Private Limited,1000000
Globelink Ww India Private Limited,1000000
Spinco Biotech Private Limited,1000000
Deccan Mechanical And Chemical Industries Private Limited,1000000
Trident International Private Limited,1000000
Automotive Manufacturers Private Limited,1000000
Pharmed Limited,1000000
Kewaunee Labway India Private Limited,1000000
Tata Trustee Company Limited,1000000
Gem Sugars Limited,1000000
Nirja Publishers & Printers Private Limited,1000000
Cosmo Electro Industries Private Limited,1000000
Hitech Corporation Limited,1000000
Parcon (India) Pvt Ltd,1000000
Madison Incentives Management Private Limited,1000000
Jay Shree Tea And Industries Limited,1000000
Brightstar Infrastructure Private Limited,1000000
Premier Mills Private Limited,1000000
Sequence Design (India) Private Limited,1000000
Krohne Marshall Pvt Ltd,1000000
Shiv Agrevo Ltd,1000000
Delhi Aviation Services Private Limited,1000000
Hapag-Lloyd India Private Limited,1000000
Viren Investments Private Limited,1000000
Ace Hardware Private Limited,1000000
Golkunda Diamonds And Jewellery Limited,1000000
Prometric Testing Private Limited Tfr. From Delhi To Haryana,1000000
Cadmach Machinery Company Private Limited,1000000
Venus India Asset-Finance Private Limited,1000000
Vijaya Diagnostic Centre Private Limited,1000000
Link Well Telesystems Pvt Ltd,1000000
Rowenta Networks Private Limited,1000000
Nu-Vu Conair Private Limited,1000000
Ongc Teri Biotech Limited,1000000
Premas Biotech Private Limited,1000000
Fiem Industries Limited,1000000
Rsm Builders & Securities Private Limited,1000000
Idbi Intech Limited,1000000
Ozone Metallics Private Limited,1000000
Ram Ratna Infrastructure Pvt Limited,1000000
Harirani Investment And Trading Private Limited,1000000
Kendle India Private Limited,1000000
Minda Industries Limited,1000000
Aditya Birla Health Services Limited,1000000
Tokai Imperial Rubber India Private Limited,1000000
Stylam Industries Limited,1000000
Quinnox Consultancy Services Limited,1000000
Vibhuti Investments Company Limited,1000000
Sona Fuji Kiko Automotive Limited,1000000
Sykes And Ray Equities (India ) Ltd,1000000
Dynamic Techno Medicals Private Limited,1000000
Groz Beckert Asia Private Limited,1000000
Rnt Plantations Limited,1000000
Marco Private Limited,1000000
Citec Engineering India Private Limited,1000000
Siddhesh Capital Market Services Private  Limited,1000000
Sarovar Hotels Private Limited,1000000
Bang Securities Private Limited,1000000
Ratanchand Investment Private Limited,1000000
Eden Real Estates Private Limited,900000
National Projects Construction Corporation Limited,900000
Vem Technologies Private Limited,900000
Magus Marketing Pvt Ltd,900000
Windlas Biotech Private Limited,900000
Rpg Life Sciences Limited,900000
India Pesticides Limited.,900000
The Indian Express Private Limited,900000
Otsuka Chemical (India) Private Limited,900000
Greenspan Agri-Tech Private Limited,900000
Opc Asset Solutions Private Limited,900000
Agi Infra Limited,900000
Tamilnadu Urban Infrastructure Financial  Services Limited,900000
Digital Radio (Kolkata) Broadcasting Limited,900000
Rec Transmission Projects Company Limited,900000
Veto Switchgears And Cables Limited,900000
Milk Food Aids Private Limited,900000
Rba Properties Limited,900000
Indian Syntans Investments Private Limited,900000
Adhunik Corporation Limited,900000
Associated Printers (Madras) Private Limited,900000
Sheel Chand Agroils Private Limited,900000
Kirtivardhan Finvest Services Limited,900000
Versatile Enterprises Pvt Ltd,900000
Pennar Engineered Building Systems Limited,900000
Hindusthan Consultancy And Services Limited,900000
Perfetti Van Melle India Private Limited,900000
Deeplok Financial Services Ltd,900000
Agarwal Industrial Corporation Limited,900000
Pitti Laminations Limited,900000
Samalpatti Power Company Private Limited,900000
Monginis Foods Private Limited,900000
Progility Technologies Private Limited,900000
Ifb Agro Industries Ltd.,900000
Metalman Auto Private Limited,900000
Orient Paper And Industries Ltd.,900000
Dynamic Industries Limited,900000
Pangea3 Legal Database Systems Private Limited,900000
Galaxy Avenue Private Limited,900000
Renew Wind Energy (Rajasthan 3) Private Limited,900000
Sri Gopikrishna Infrastructure Private Limited,900000
Novex Poly Films Private Limited,900000
Vaishnavi Infrastructure Private Limited,900000
Hindustan Syringes And Medical Devices Limited,900000
Tricon Infotech Private Limited,900000
Kishan Lal Jewels Private Limited,900000
Emco Goa Private Limited,900000
Crompton Greaves Consumer Electricals Limited,900000
Bajaj Polyblends Private Limited,900000
Bajaj Auto Holdings Limited,900000
Vanita Agrochem (India) Private Limited,900000
Altitude Investments Private Limited,900000
Gujarat Intrux Limited,900000
Propiedades Realties Private Limited,900000
Zeus Air Services Private Limited,900000
Hi-Point Services (India) Private Limited,900000
Hsbc Professional Services (India) Private Limited,900000
Smc Global Securities Limited,900000
Synergy Synthetics Private Limited,900000
Rmg Polyvinyl India Limited,900000
Novartis Healthcare Private Limited,900000
M Agarwal Stock Brokers Private Limited,900000
Arofine Polymers Private Limited,900000
Tracks & Towers Infratech Private Limited (Part Ix),900000
General Industrial Controls Pvt Ltd,900000
Rajiv Plastics Private Limited,900000
Ambuja Intermediates Private Limited,900000
Termoplast Pollypacks Italy (India) Private Limited,900000
Tribal Fusion R&D; Private Limited,900000
Balaji Multiflex Private Limited,900000
Saba Software India Private Limited,900000
Rodic Consultants Private Limited,900000
Deffree Engineering Private Limited,800000
Ds Spiceco Private Limited,800000
Virchow Biotech Private Limited,800000
Maritime Services Private Limited,800000
Chirag Assocaites Private Limited,800000
Schott Glass India Private Limited,800000
Moldex Composites Private Limited,800000
Excel Crop Care Ltd,800000
