,SNo.,company,amount
0,1,Motherson Sumi Systems Limited,"20,000,000.00"
1,2,Tv18 Broadcast Limited,"11,100,000.00"
2,3,Strides Shasun Limited,"4,660,000.00"
3,4,Whirlpool Of India Limited,"1,479,000.00"
4,5,Raheja Universal (Pvt) Limited,"200,000.00"
5,6,Otto Clothing Private Limited,"100,000.00"
6,7,Siemens Technology And Services Private Limited,0.00
