,SNo.,company,amount
0,1,Hindustan Aeronautics Limited,"103,038,000.00"
1,2,Meenakshi Power Private Limited,"3,478,545.00"
2,3,National Aluminium Co Ltd,"1,000,000.00"
3,4,Odisha Power Transmission Corporation Limited,"41,800.00"
