,SNo.,company,amount
0,1,Infosys Limited,"123,500,000.00"
1,2,Rashtriya Ispat Nigam Ltd,"20,240,000.00"
2,3,Dredging Corporation Of India Limited,"13,155,000.00"
3,4,Laurus Labs Limited,"11,340,326.00"
4,5,Hsbc Electronic Data Processing India Private Limited,"10,910,900.00"
5,6,Kmv Projects Limited,"9,413,000.00"
6,7,Gangavaram Port Limited,"8,529,080.00"
7,8,Microsoft India (R&D;) Private Limited,"7,491,050.00"
8,9,Power Grid Corporation Of India Limited,"6,135,000.00"
9,10,Quality Care India Limited,"3,400,000.00"
10,11,Devi Fisheries Limited,"2,675,000.00"
11,12,Lg Polymers India Private Limited,"2,200,000.00"
12,13,Visakha Container Terminal Private Limited,"2,053,621.00"
13,14,Devi Sea Foods Limited,"1,809,000.00"
14,15,Vijaynagar Bio-Tech Private Limited,"1,713,006.00"
15,16,Varun Motors Private Limited,"1,601,242.00"
16,17,Navayuga Engineering Company Limited,"1,515,000.00"
17,18,Sarat Chatterjee & Co (Visakhapatnam) Pvt Ltd,"1,413,058.00"
18,19,Mahidhara Chemicals Private Limited,"1,408,000.00"
19,20,Vizag Hospital And Cancer Research Centre Pvt Ltd,"1,356,310.00"
20,21,Seeds Intimate Apparel India Private Limited,"1,076,674.00"
21,22,Nekkanti Sea Foods Ltd.,"946,000.00"
22,23,Rain Cii Carbon (Vizag) Limited,"930,000.00"
23,24,Vishnu Chemicals Limited,"817,781.00"
24,25,Steel City Securities Limited,"750,000.00"
25,26,Eisai Pharmaceuticals India Private Limited,"704,713.00"
26,27,Rhi Clasil Private Limited,"563,415.00"
27,28,Coastal Corporation Limited,"501,954.00"
28,29,East India Petroleum Private Limited,"339,432.00"
29,30,Vijay Nirman Company Private Limited,"339,143.00"
30,31,Bothra Shipping Services Private Limited,"273,800.00"
31,32,Narayani Ispat Pvt Ltd,"200,000.00"
32,33,Avantel Limited,"177,903.00"
33,34,Granules India Limited,"160,000.00"
34,35,Srinivasa Hatcheries Limited,"143,000.00"
35,36,Amaravathi Textiles Pvt Ltd,"132,000.00"
36,37,Sai Marine Exports Private Limited,"110,000.00"
37,38,Premier Explosives Limited,"100,000.00"
38,39,Glochem Industries Limited,"82,500.00"
39,40,Teejay India Private Limited,0.00
40,41,Chandana Brothers Multi Complex Private Limited,0.00
41,42,Visakhapatnam Industrial Water Supply Company Limited,0.00
