,Andhra Pradesh
Anantapur,60150000.0
Chittoor,76172000.0
East Godavari,21629809.0
Guntur,72426536.6
Kadapa,57946000.0
Krishna,96757373.0
Kurnool,51030615.5
Prakasam,8329655.0
Sri Potti Sriramulu Nellore,0.0
Srikakulam,77991146.0
Visakhapatnam,240206908.0
Vizianagaram,753150.0
West Godavari,12055711.0
