,CIN,name_x,name_y
0,L01132AS1977PLC001706,WARREN TEA LIMITED,Warren Tea Limited
1,L01132TZ1922PLC000234,THE UNITED NILGIRI TEA ESTATES COMPANY LIMITED,The United Nilgiri Tea Estates Company Limited
2,L01132WB1900PLC000292,JOONKTOLLEE TEA AND INDUSTRIES LIMITED,Joonktollee Tea & Industries Ltd.
3,L01132WB1994PLC063513,ROSSELL INDIA LIMITED,Rossell India Limited
4,L01222PN1976PLC017422,VENKY'S (INDIA) LIMITED,Venkys (India) Limited
5,L01409WB1982PLC034590,IFB AGRO INDUSTRIES LTD.,Ifb Agro Industries Ltd.
6,L02101KA1955PLC001936,THE WEST COAST PAPER MILLS LIMITED,The West Coast Paper Mills Limited
7,L02411KA1988PLC009465,VIVIMED LABS LIMITED,Bs & B Safety Systems (India) Limited
8,L10889MH1957PLC010889,GARWARE POLYESTER LIMITED,Garware Polyester Limited
9,L11101AS1959GOI001148,OIL INDIA LIMITED,Oil India Limited
10,L11101MH2006PLC163934,CAIRN INDIA LIMITED,Cairn India Limited
11,L13209GA1965PLC000044,VEDANTA LIMITED,Vedanta Limited
12,L14100GJ1963SGC001206,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,Gujarat Mineral Development Corporation Limited
13,L14101KA1989PLC062041,PACIFIC INDUSTRIES LIMITED,Pacific Industries Limited
14,L14101RJ1984PLC003134,ELEGANT MARBLES AND GRANI INDUSTRIES LIMITED,Elegant Marbles And Grani Industries Limited
15,L14106UP1995PLC019017,JAIPRAKASH ASSOCIATES LIMITED,Jaiprakash Associates Limited
16,L15122WB2007PLC162762,ASIAN HOTELS (EAST) LIMITED,Asian Hotels (East) Limited
17,L15140GJ1991PLC016151,GUJARAT AMBUJA EXPORTS LIMITED,Gujarat Ambuja Exports Limited
18,L15140MH1986PLC038536,RUCHI SOYA INDUSTRIES LIMITED,Ruchi Soya Industries Limited
19,L15142TN1986PLC012780,AVT NATURAL PRODUCTS LIMITED,Avt Natural Products Limited
20,L15143PB1983PLC018321,NAHAR INDUSTRIAL ENTERPRISES LIMITED,Nahar Industrial Enterprises Limited
21,L15201GJ1994PLC023490,ZYDUS WELLNESS LIMITED,Zydus Wellness Limited
22,L15249UP1933PLC000511,DHAMPUR SUGAR MILLS LIMITED,Dhampur Sugar Mills Limited
23,L15311DL1993PLC052624,DFM FOODS LIMITED,Dfm Foods Limited
24,L15412WB1918PLC002964,BRITANNIA INDUSTRIES LTD,Britannia Industries Ltd
25,L15420AP1947PLC000326,THE ANDHRA SUGARS LIMITED,The Andhra Sugars Limited
26,L15491WB1962PLC031425,TATA GLOBAL BEVERAGES LIMITED,Tata Global Beverages Limited
27,L16001AP1993PLC095778,AVANTI FEEDS LIMITED,Avanti Feeds Limited
28,L16004MH1936PLC008587,GODFREY PHILLIPS INDIA LIMITED,Godfrey Phillips India Limited
29,L16008UP1983PLC006254,KOTHARI PRODUCTS LIMITED.,Kothari Products Limited.
30,L17110GJ1913PLC000035,MAFATLAL INDUSTRIES LIMITED,Mafatlal Industries Limited
31,L17110MH1973PLC019786,RELIANCE INDUSTRIES LIMITED,Reliance Industries Limited
32,L17111GJ1979PLC003463,GARDEN SILK MILLS LIMITED,Garden Silk Mills Limited
33,L17111PB1973PLC003345,VARDHMAN TEXTILES LIMITED,Vardhman Textiles Limited
34,L17111RJ1992PLC006987,NITIN SPINNERS LIMITED,Nitin Spinners Limited
35,L17111TN1946PLC001361,LOYAL TEXTILE MILLS LIMITED,Loyal Textile Mills Limited
36,L17111TN1946PLC003270,VTM LIMITED,Vtm Limited
37,L17111TZ1973PLC000675,SAMBANDAM SPINNING MILLS LIMITED,Sambandam Spinning Mills Limited
38,L17111TZ1981PLC001109,SUPER SALES INDIA LIMITED,Super Sales India Limited
39,L17111TZ1989PLC002476,BANNARI AMMAN SPINNING MILLS LIMITED,Bannari Amman Spinning Mills Limited
40,L17111TZ1994PLC004797,SALONA COTSPIN LIMITED,Salona Cotspin Limited
41,L17111TZ2003PLC010518,K.P.R. MILL LIMITED,K.P.R. Mill Limited
42,L17115PB1979PLC003994,SHREYANS INDUSTRIES LIMITED,Shreyans Industries Limited
43,L17115PB1980PLC004341,NAHAR SPINNING MILLS LIMITED,Nahar Spinning Mills Ltd
44,L17115PB1988PLC008820,NAHAR POLY FILMS LIMITED,Nahar Poly Films Limited
45,L17115RJ1960PLC008216,RSWM LIMITED,Rswm Limited
46,L17118RJ1984PLC003173,SANGAM (INDIA) LIMITED,Sangam (India) Limited
47,L17119DN1990PLC000091,FILATEX INDIA LIMITED(TR.CO.FROM DELHI),Filatex India Ltd(Tr.Co.From Delhi)
48,L17119GJ1992PLC018073,BETEX INDIA LIMITED (CO TR FROM MAHA ),Betex India Limited (Co Tr From Maha )
49,L17119WB1992PLC054454,GLOSTER LIMITED,Gloster Limited
