,0
Bharat Heavy Electricals Limited,2391100000
Infosys Limited,1188000000
Ntpc Limited,984730000
Shamyak Investment Private Limited,643000000
Mmtc Limited,483400000
Northern Coalfields Limited,401400000
Gujarat Mineral Development Corporation Limited,352188000
Cairn India Limited,330100000
Thdc India Limited,259347000
Reliance Infrastructure Limited,253500000
Gagandeep Credit Capital Private Limited,250000000
Coal India Ltd Govt Of India Undertaking,242930000
Bajaj Auto Limited.,188000000
Shree Cement Limited,175600000
Sundaram -Clayton Limited,174300000
Power Grid Corporation Of India Limited,171071000
Bhushan Power & Steel Limited,162000000
Cesc Ltd,142217675
Torrent Pharmaceuticals Ltd,141900000
Jammu And Kashmir Bank Limited,137461812
Hindustan Aeronautics Limited,136963000
Piramal Finance Private Limited,119400000
Rosa Power Supply Company Limited,112800000
Bharat Forge Ltd,112190000
Cadila Healthcare Limited,108150000
Medreich Limited,108000000
Prescient Securities Private Limited,100000000
Jm Financial Institutional Securities Limited,99400000
Godrej Consumer Products Limited,98100000
Rashtriya Ispat Nigam Ltd,89993000
Muthoot Finance Limited,89207875
Uttam Galva Metallics Limited,80627774
Apollo Hospitals Enterprise Limited,77710000
Sundaram Finance Limited,76630000
Icici Bank Limited,75912830
Jsw Steel Limited,73600000
Aurobindo Pharma Ltd,70633386
Rites Limited,67000000
Nirma Limited,66200000
Vardhman Textiles Limited,60000000
Reliance Power Limited,58750000
Havells India Limited,57800000
Rural Electrification Corporation Limited,57207680
Container Corporation Of India Limited,56737000
Rajasthan State Industrial Development And Investm,56088000
Bennett Coleman And Company Limited,55000000
Hindustan Copper Ltd,54356000
Jaiprakash Power Ventures Limited,53062102
Jindal Saw Limited,52493000
Cochin Shipyard Limited,50644000
Hindustan Gum And Chemicals Limited,50000000
Cummins India Limited,49250746
Shree Ramkrishna Exports Private Limited,47156000
Cholamandalam Investment And Finance Company Limited,46143000
Godawari Power And Ispat Limited,45111000
Bharat Aluminium Co Ltd,44100000
Manappuram Finance Limited,43610000
Kone Elevator India Private Limited,42000000
Gujarat Industries Power Company Ltd.,41892000
Idfc Limited,41356289
Infina Finance Private Limited,40500002
Ajeet Seeds Private Limited,40200000
Lakshmi Machine Works Limited,38507280
Ireo Private Limited,36923530
Indiabulls Housing Finance Limited,36533659
The Supreme Industries Limited,35003000
Reliance Ports And Terminals Limited,35000000
Polaris Consulting & Services Limited,33125000
Vakrangee Limited,32125000
