,name,CIN,NIC,amount
90,Anika International Private Limited,U74999DL1977PTC008682,,1159000
91,Anjana Software Solutions Private Limited,U72300TN1999PTC043603,,3700000
92,Ankit Gems Private Limited,U36912MH2011PTC216778,36.0,4700000
93,Ankit India Limited,L15500WB1981PLC033900,,0
94,Ankur Scientific Energy Technologies Pvt  Ltd,,,171000
95,Ankur Seeds Pvt Ltd,U01110MH1984PTC034560,,4453871
96,Anmol Biscuits Ltd,U15412WB1993PLC060191,10.0,6485000
97,Ansal Buildwell Limited,L45201DL1983PLC017225,45.0,3000000
98,Ansal Housing And Construction Limited,L45201DL1983PLC016821,45.0,11025000
99,Ansal Properties And Infrastructure Limited,L45101DL1967PLC004759,45.0,30000000
100,Ansys Software Private Limited,U72200PN2001PTC153069,72.0,2129391
101,Antares Systems Limited,U72900KA1997PLC023187,,744219
102,Antique Finance Private Limited,U65990MH2005PTC156892,,3000000
103,Anu Projects Consultants And Engineers Pvt Ltd,U74140MH1986PTC041595,,10510000
104,Apar Industries Limited,L91110GJ1989PLC012802,94.0,100000
105,Aparna Constructions And Estates Private Limited,U24219TG1996PTC025330,,6125000
106,Aparna Enterprises Limited,U51109TG1994PLC018950,,615000
107,Aparna Infrahousing Private Limited (Part Ix ),U45200TG2006PTC049680,45.0,3550000
108,Apax Partners India Advisers Private Limited,U65993MH2006PTC165142,,1374444
109,Apcotex Industries Limited,L99999MH1986PLC039199,99.0,1443000
110,Apeejay Tea Limited,U27108WB1995PLC071253,27.0,3000000
111,Apollo Gleneagles Hospital Limited,U33112WB1988PLC045223,33.0,2920000
112,Apollo Hospitals Enterprise Limited,L85110TN1979PLC008035,86.0,77710000
113,Apollo Trading And Finance Private Limited,U74899DL1983PTC015159,,8950000
114,Applabs Technologies Private Limited,U72200TN2001PTC102611,,0
115,Apt Infrastructure Private Limited,U45400DL2007PTC170319,,80000
116,Apurva Natvar Parikh & Co Private Limited,U63010MH1959PTC011380,,450000
117,Aquapharm Chemicals Private Limited,U24231MH1974PTC017243,21.0,2696000
118,Aradhana Investments Ltd,L67120WB1973PLC029135,,4000000
119,Archean Chemical Industries Private Limited,U24298TN2009PTC072270,24.0,6561045
120,Archies Limited,L36999HR1990PLC041175,36.0,700000
121,Ariba Technologies India Private Limited,U72900KA2000PTC027540,,1396800
122,Aries Organics Private Limited,U24117GJ1995PTC024832,,700000
123,Arjav Diamonds (India) Private Limited,U36996MH2007PTC169725,36.0,5700000
124,Arjuna Natural Extracts Ltd,U24239KL1992PLC006670,,10000
125,Arris Group India Private Limited,,,272500
126,Arthanari Loom Centre Textile Private Limited,U18101TZ1991PTC003485,,1250000
127,Arunachala Logistics Private Limited,U60210TG2000PTC035714,60.0,300000
128,Arvindbhai Bechardas Jewellers Private Limited,U36911GJ2007PTC050113,,475211
129,Ashida Electronics Private Limited,U21109MH1994PTC081216,,705504
130,Ashirvad Pipes Private Limited,U85110KA1997PTC021831,86.0,2869209
131,Asian Hotels (East) Limited,L15122WB2007PLC162762,15.0,6000000
132,Asian Hotels (North) Limited,L55101DL1980PLC011037,55.0,1500000
133,Asian Hotels (West) Limited,L55101DL2007PLC157518,55.0,1110000
134,Asm Technologies Limited,L85110KA1992PLC013421,86.0,576000
135,Aspee Agro Equipment Pvt Ltd,U29219GJ1972PTC002087,29.0,2175519
136,Aspinwall And Company Limited,U74999KL1920PLC001389,,820000
137,Assam Petro Chemicals Ltd,L24116AS1971SGC001339,20.0,10081108
138,Assystem Technologies India Private Limited,U72900KA2008FTC046904,,968000
139,Astec Lifesciences Limited,L99999MH1994PLC076236,99.0,41000
140,Astha Projects (India ) Private Limited,U45200TG1989PTC047103,,200000
141,Astral Poly Technik Limited,L25200GJ1996PLC029134,25.0,16000000
142,Atc Tires Private Limited,U25111MH2007PTC172456,25.0,20236000
143,Atlas Copco (India) Limited,U27106PN1960PLC020566,27.0,5770000
144,Ats Elgi Limited,U34300TZ2007PLC014125,34.0,3150000
145,Au Financiers (India) Limited,U36911RJ1996PLC011381,32.0,5990367
146,Auma India Private Limited,U74999KA1983PTC005412,,2430015
147,Aurobindo Pharma Ltd,L24239TG1986PLC015190,21.0,70633386
148,Autonomy Software Asia Private Limited,U72200KA2000PTC026561,,955054
149,Ava Cholayil Health Care Private Limited,U74990TN2009PTC073126,,825000
150,Avacado Properties And Trading (India) Private Limited,U70100MH2002PTC137766,68.0,2150000
151,Avalokiteshvar Valinv Limited,U65993DL1974PLC120976,65.0,700000
152,Avantel Limited,L72200AP1990PLC011334,72.0,963519
153,Avanti Feeds Limited,L16001AP1993PLC095778,12.0,4718000
154,Avanti Institute Of Cardiology Pvt Ltd,U85100MH1993PTC074769,,1731429
155,Avendus Capital Private Limited,U99999MH1999PTC123358,99.0,99000
156,Avinash Developers Private Limited,U45201CT1997PTC012395,45.0,700000
157,Avon Ispat & Power Limited,U35921PB1968PLC002754,,2255000
158,Avt Mccormick Ingredients Private Limited,U51225TN1993PTC026433,51.0,278199
159,Avt Natural Products Limited,L15142TN1986PLC012780,10.0,1500513
160,Axa Technologies Shared Services Private Limited,U72200KA2005PTC035598,,54000
161,Axis Bank Limited,L65110GJ1993PLC020769,64.0,600000
162,Axis Electrical Components (India) Private Limited,U31200MH1997PTC108174,,790347
163,Axiscades Aerospace & Technologies Private Limited,U72900KA2001PTC028394,,800000
164,Axiscades Engineering Technologies Limited,L72200KA1990PLC084435,72.0,1200000
165,Ayushajay Construction Private Limited,U45201MP1995PTC009459,,0
166,B L Lifesciences Private Limited,U33112DL1999PTC098641,,2000000
167,B.V. Bio-Corp Private Limited,U15332PN2002PTC016680,10.0,4500000
