,Haryana
Ambala,33426540.05
Bhiwani,21060000.0
Charkhi Dadri,0.0
Faridabad,108586967.0
Fatehabad,0.0
Gurugram,1073320482.8400002
Hisar,222864753.0
Jhajjar,56364381.0
Jind,4571000.0
Kaithal,1489921.0
Karnal,8420725.0
Kurukshetra,1816151.0
Mahendragarh,0.0
Mewat,26630610.0
Palwal,7761684.0
Panchkula,0.0
Panipat,19750770.240000002
Rewari,37445241.0
Rohtak,11258014.0
Sirsa,1600000.0
Sonipat,22000.0
Yamunanagar,13405000.0
