,SNo.,company,amount
0,1,Sangam (India) Limited,"5,600,000.00"
1,2,Nitin Spinners Limited,"3,500,000.00"
2,3,India Infrastructure Finance Company Limited,"1,400,000.00"
3,4,Ostwal Phoschem (India) Limited,"1,100,000.00"
4,5,Kanchan India Limited,"1,100,000.00"
5,6,Rajasthan Knowledge Corporation Limited,"900,000.00"
6,7,Ravi Infrabuild Projects Private Limited,"400,000.00"
7,8,Sudiva Spinners Private Limited,"100,000.00"
8,9,Krishana Phoschem Limited,0.00
9,10,Maheshwari Mining Private Limited,0.00
10,11,India Shelter Finance Corporation Limited,0.00
