,Odisha
Angul,258514884.0
Balangir,0.0
Balasore,10050064.0
Bargarh,700000.0
Bhadrak,120000.0
Boudh,0.0
Cuttack,25560048.0
Deogarh,0.0
Dhenkanal,6603519.0
Gajapati,0.0
Ganjam,6000000.0
Jagatsinghapur,0.0
Jajpur,0.0
Jharsuguda,14832097.0
Kalahandi,153500.0
Kandhamal,0.0
Kendrapara,0.0
Kendujhar,0.0
Khordha,0.0
Koraput,48875385.0
Malkangiri,0.0
Mayurbhanj,0.0
Nabarangpur,0.0
Nayagarh,5784154.0
Nuapada,8782000.0
Puri,152055.0
Rayagada,0.0
Sambalpur,162000000.0
Subarnapur,0.0
Sundargarh,0.0
