,Andhra Pradesh
Anantapur,189625000.0
Chittoor,74702258.0
East Godavari,19811910.0
Guntur,53545896.0
Kadapa,2731000.0
Krishna,30784935.0
Kurnool,39315723.0
Prakasam,2290647.0
Sri Potti Sriramulu Nellore,0.0
Srikakulam,43983725.03
Visakhapatnam,304338936.25
Vizianagaram,0.0
West Godavari,42424008.75
