,Chhattisgarh
Balod,0.0
Baloda Bazar,0.0
Balrampur,0.0
Bastar,3580000.0
Bemetara,0.0
Bijapur,0.0
Bilaspur,112174072.0
Dantewada ,0.0
Dhamtari,0.0
Durg,57263250.0
Gariaband,0.0
Janjgir Champa,0.0
Jashpur,1676000.0
Kabirdham,0.0
Kanker,19550000.0
Kondagaon,0.0
Korba,118363000.0
Koriya,0.0
Mahasamund,1457250.0
Mungeli,0.0
Narayanpur,0.0
Raigarh,0.0
Raipur,85601501.0
Rajnandgaon,15252000.0
Sukma,0.0
Surajpur,4340000.0
Surguja,2200000.0
