,SNo.,company,amount
0,1,Ultimate Flexipack Limited,"3,000,000.00"
1,2,Vinayak Dealer Pvt Ltd,"2,700,000.00"
2,3,Deeplok Securities Limited,"1,700,000.00"
3,4,Rsm Builders & Securities Private Limited,"1,100,000.00"
4,5,Jaipur Rugs Company Private Limited,"470,502.00"
5,6,G Corp Private Limited,"250,000.00"
6,7,Karuna Management  Services Limited,0.00
