,SNo.,company,amount
0,1,Manappuram Finance Limited,"136,677,103.00"
1,2,Kalyan Jewellers India Limited,"21,077,000.00"
2,3,Kalyan Silks Trichur Private Limited,"5,335,378.00"
3,4,Kse Limited,"4,973,000.00"
4,5,The South Indian Bank Limited,"3,000,000.00"
5,6,Maben Nidhi Limited,"1,513,000.00"
6,7,Petronet Cck Limited,"1,355,000.00"
7,8,K.L.F. Nirmal Industries Private Limited,"942,000.00"
8,9,Cochin Blue Metal Industries Private Limited,"500,000.00"
9,10,Hil Limited,"500,000.00"
10,11,Kerala State Industrial Development Corpn Ltd,"375,000.00"
11,12,Brd Securities Ltd,"257,760.00"
12,13,S M L Finance Limited,"144,140.00"
13,14,The Catholic Syrian Bank Ltd,"120,000.00"
14,15,Manappuram Jewellers Limited.,0.00
