,Uttarakhand
Almora,0.0
Bageshwar,0.0
Chamoli,7600000.0
Champawat,0.0
Dehradun,29400000.0
Haridwar,28100000.0
Nainital,3300000.0
Pauri Garhwal,0.0
Pithoragarh,1200000.0
Rudraprayag,1600000.0
Tehri Garhwal,139600000.0
Udham Singh Nagar,5100000.0
Uttarkashi,0.0
