,Gujarat
Ahmedabad,859931420.0
Amreli,6328011.0
Anand,23020000.0
Aravalli,2100000.0
Banaskantha,10000000.0
Bharuch,104466068.0
Bhavnagar,18204825.0
Botad,0.0
Chhota Udaipur,0.0
Dahod,0.0
Dang,11916085.0
Devbhoomi Dwarka,2768795.0
Gandhinagar,16196829.0
Gir Somnath,0.0
Jamnagar,12009000.0
Junagadh,336240.0
Kheda,6744000.0
Kutch,35614718.0
Mahisagar,0.0
Mehsana,21034547.0
Morbi,14489536.0
Narmada,597342.0
Navsari,1834000.05
Panchmahal,280000.0
Patan,52894886.0
Porbandar,0.0
Rajkot,50937377.0
Sabarkantha,0.0
Surat,200610000.0
Surendranagar,7971755.0
Tapi,6637662.0
Vadodara,50651044.309999995
Valsad,42095179.0
