,SNo.,company,amount
0,1,Housing And Urban Development Corporation Limited,"17,800,000.00"
1,2,Nirma Limited,"15,100,000.00"
2,3,Dishman Pharmaceuticals And Chemicals Limited,"10,000,000.00"
3,4,Forge And Forge Private Limited,"2,000,000.00"
4,5,Gujarat Intrux Limited,"1,431,840.00"
5,6,Prashant Castech Private Limited,"1,328,250.00"
6,7,Rajoo Engineers Limited,"1,191,412.00"
7,8,Ratnamani Metals And Tubes Limited,"1,000,000.00"
8,9,Paschim Gujarat Vij Company Limited,"430,675.00"
9,10,Essen Multipack Limited,"319,200.00"
10,11,Unique Estates Development Company Limited,"200,000.00"
11,12,Apar Industries Limited,"100,000.00"
12,13,Reliance Ventures Limited,"36,000.00"
