,SNo.,company,amount
0,1,Jm Financial Institutional Securities Limited,"7,400,000.00"
1,2,Power Grid Corporation Of India Limited,"600,000.00"
2,3,Jai Beverages Private Limited,"500,000.00"
3,4,Bajrang Agro Industries Private Limited,"300,000.00"
4,5,National Steel And Agro Industries Limited,"200,000.00"
5,6,Green Infra Btv Limited,"100,000.00"
6,7,Brightstar Infrastructure Private Limited,"100,000.00"
7,8,Pensol Industries Limited,"100,000.00"
8,9,Radhamani Textiles Private Limited,"100,000.00"
