,Jharkhand
Bokaro,0.0
Chatra,0.0
Deoghar,4600000.0
Dhanbad,47200000.0
Dumka,0.0
East Singhbhum,0.0
Garhwa,0.0
Giridih,28200000.0
Godda,0.0
Gumla,200000.0
Hazaribag,5200000.0
Jamtara,0.0
Khunti,3600000.0
Koderma,100000.0
Latehar,0.0
Lohardaga,0.0
Pakur,100000.0
Palamu,0.0
Ramgarh,0.0
Ranchi,8800000.0
Sahebganj,0.0
Seraikela Kharsawan,0.0
Simdega,1500000.0
West Singhbhum,0.0
