,SNo.,company,amount
0,1,Spaco Technologies (India) Private Limited,"2,300,000.00"
1,2,Meso Private Limited,"300,000.00"
2,3,Essen Speciality Films Private Limited,0.00
3,4,K. Amishkumar Trading Private Limited,0.00
4,5,Rajoo Engineers Limited,0.00
