,Gujarat
Ahmedabad,271400000.0
Amreli,1100000.0
Anand,29700000.0
Aravalli,0.0
Banaskantha,6700000.0
Bharuch,11900000.0
Bhavnagar,16800000.0
Botad,0.0
Chhota Udaipur,0.0
Dahod,72100000.0
Dang,0.0
Devbhoomi Dwarka,0.0
Gandhinagar,12800000.0
Gir Somnath,200000.0
Jamnagar,1400000.0
Junagadh,2600000.0
Kheda,7400000.0
Kutch,39700000.0
Mahisagar,0.0
Mehsana,12800000.0
Morbi,100000.0
Narmada,200000.0
Navsari,1000000.0
Panchmahal,1100000.0
Patan,2100000.0
Porbandar,0.0
Rajkot,14500000.0
Sabarkantha,38800000.0
Surat,45000000.0
Surendranagar,7100000.0
Tapi,0.0
Vadodara,117800000.0
Valsad,69600000.0
