,Uttarakhand
Almora,4500000.0
Bageshwar,0.0
Chamoli,0.0
Champawat,0.0
Dehradun,26700000.0
Haridwar,339400000.0
Nainital,1100000.0
Pauri Garhwal,0.0
Pithoragarh,500000.0
Rudraprayag,1800000.0
Tehri Garhwal,0.0
Udham Singh Nagar,13000000.0
Uttarkashi,2900000.0
