,SNo.,company,amount
0,1,Sundaram Finance Limited,"13,300,000.00"
1,2,Equitas Small Finance Bank Limited,"7,300,000.00"
2,3,Ucal Polymer Industries Limited,"700,000.00"
3,4,The Karur Vysya Bank Limited,"100,000.00"
4,5,The Kumbakonam Mutual Benefit Fund Limited,"100,000.00"
5,6,Matrix Business Services India Private Limited,"100,000.00"
