,Tamil Nadu
Ariyalur,0.0
Chennai,932700000.0
Coimbatore,135800000.0
Cuddalore,19500000.0
Dharmapuri,10800000.0
Dindigul,22800000.0
Erode,5300000.0
Kanchipuram,20100000.0
Kanyakumari,15000000.0
Karur,5800000.0
Krishnagiri,6800000.0
Madurai,22600000.0
Nagapattinam,31000000.0
Namakkal,400000.0
Nilgiris,1500000.0
Perambalur,1200000.0
Pudukkottai,0.0
Ramanathapuram,7400000.0
Salem,14800000.0
Sivaganga,55300000.0
Thanjavur,21600000.0
Theni,8700000.0
Thoothukudi,300000.0
Tiruchirappalli,10500000.0
Tirunelveli,3600000.0
Tiruppur,2500000.0
Tiruvallur,2400000.0
Tiruvannamalai,2300000.0
Tiruvarur,0.0
Vellore,38100000.0
Viluppuram,0.0
Virudhunagar,13700000.0
