,SNo.,company,amount
0,1,Sundaram Finance Limited,"82,600,000.00"
1,2,Cholamandalam Investment And Finance Company Limited,"74,300,000.00"
2,3,Robert Bosch Engineering And Business Solutions Private Limited,"65,000,000.00"
3,4,Bajaj Finance Limited,"64,000,000.00"
4,5,Rural Electrification Corporation Limited,"60,700,000.00"
5,6,Standard Chartered Global Business Services Private Limited,"59,500,000.00"
6,7,Cholamandalam Ms General Insurance Company Limited,"29,500,000.00"
7,8,Equitas Small Finance Bank Limited,"23,700,000.00"
8,9,Shriram City Union Finance Limited,"17,000,000.00"
9,10,Tamilnadu Power Finance And Infrastructure Development Corporation Limited,"15,000,000.00"
10,11,Grt Jewellers (India) Private Limited,"15,000,000.00"
11,12,Acsys Investments Private Limited,"13,400,000.00"
12,13,Lakshmi Vilas Bank Limited,"10,200,000.00"
13,14,Dboi Global Services Private Limited,"10,000,000.00"
14,15,Pentair Sanmar Limited,"10,000,000.00"
15,16,Royal Sundaram General Insurance Co. Limited,"9,700,000.00"
16,17,Tvs Credit Services Limited,"9,000,000.00"
17,18,Shriram Life Insurance Company Limited,"8,800,000.00"
18,19,Qube Cinema Technologies Private Limited,"8,700,000.00"
19,20,Computer Age Management Services Private  Limited,"8,700,000.00"
20,21,India Motor Parts & Accessories Limited,"7,700,000.00"
21,22,Shriram Capital Limited,"7,700,000.00"
22,23,Ocean Interiors Private Limited,"7,500,000.00"
23,24,Omega Healthcare Management Services Private Limited,"7,500,000.00"
24,25,Express Newspapers Private Limited,"7,500,000.00"
25,26,The Clearing Corporation Of India Limited,"7,300,000.00"
26,27,Flextronics Technologies (India) Private  Limited,"7,000,000.00"
27,28,Xomox Sanmar Limited,"7,000,000.00"
28,29,Ifmr Capital Finance Private Limited,"6,600,000.00"
29,30,Savery Transport Finance Limited,"6,000,000.00"
30,31,Sundaram Bnp Paribas Home Finance Limited,"5,800,000.00"
31,32,Kaleesuwari Refinery Private Limited,"5,700,000.00"
32,33,Dymos Lear Automotive India Private Limited,"5,600,000.00"
33,34,Minda Sai Limited,"5,200,000.00"
34,35,Sundaram Asset Management Company Limited,"5,100,000.00"
35,36,Amnet Systems Private Limited,"5,000,000.00"
36,37,Sqs India Bfsi Limited,"4,900,000.00"
37,38,Madras Christian College,"4,700,000.00"
38,39,Tamil Nadu Road Development Company Limited,"4,600,000.00"
39,40,Madras Engineering Industries Private Limited,"4,600,000.00"
40,41,Mphasis Limited,"4,500,000.00"
41,42,K R Pulp And Papers Limited,"4,100,000.00"
42,43,Manali Petrochemicals Limited,"4,000,000.00"
43,44,Mitsubishi Elevator India Private Limited,"3,800,000.00"
44,45,Latent View Analytics Private Limited,"3,700,000.00"
45,46,Metrohm India Limited,"3,600,000.00"
46,47,Tropical Agro System (India) Private Limited,"3,500,000.00"
47,48,Hdfc Standard Life Insurance Company Limited,"3,400,000.00"
48,49,Technip India Limited,"3,300,000.00"
49,50,Nsk India Sales Company Private Limited,"3,200,000.00"
50,51,Easyaccess Financial Services Limited,"3,200,000.00"
51,52,Gh Induction India Private Limited,"3,100,000.00"
52,53,Birdie Investments (Madras) Private Limited,"3,100,000.00"
53,54,Easun - Mr Tapchangers Private Limited,"3,000,000.00"
54,55,Williams Lea India Private Limited,"2,900,000.00"
55,56,Tablets (India) Ltd,"2,900,000.00"
56,57,Tvs Logistics Services Limited,"2,800,000.00"
57,58,Ntpc Tamil Nadu Energy Company Limited,"2,500,000.00"
58,59,Hdb Financial Services Limited,"2,500,000.00"
59,60,Asirvad Micro Finance Limited,"2,400,000.00"
60,61,Dun & Bradstreet Technologies & Data Services Private Limited,"2,400,000.00"
61,62,United India Insurance Company Limited,"2,400,000.00"
62,63,Indo- National Limited,"2,400,000.00"
63,64,Tag Corporation Private Limited,"2,300,000.00"
64,65,Sterling Software Private Limited,"2,300,000.00"
65,66,Kotak Mahindra Bank Limited,"2,200,000.00"
66,67,Schneider Electric Systems India Private  Limited,"2,200,000.00"
67,68,Farida Shoes Private Limited,"2,200,000.00"
68,69,Ad2Pro Media Solutions Private Limited,"2,200,000.00"
69,70,Madurai Power Corporation Private Limited,"2,200,000.00"
70,71,Fedbank Financial Services Limited,"2,200,000.00"
71,72,Fieldcore Service Solutions International India Private Limited,"2,200,000.00"
72,73,Raj Television Network Limited,"2,100,000.00"
73,74,The Madras Silks India Private Limited,"2,100,000.00"
74,75,E Care India Private Limited,"2,100,000.00"
75,76,Ppn Power Generating Company Private Limited,"2,000,000.00"
76,77,Pos-Hyundai Steel Manufacturing India Private Limited,"2,000,000.00"
77,78,Daimler Financial Services India Private  Limited,"2,000,000.00"
78,79,Plasser (India) Private Limited,"2,000,000.00"
79,80,Results Marine Private Limited,"2,000,000.00"
80,81,Maquet Medical India Private Limited,"2,000,000.00"
81,82,Amrutanjan Health Care Limited,"1,900,000.00"
82,83,Protechsoft Systems Private Limited,"1,900,000.00"
83,84,Radisys India Private Limited,"1,800,000.00"
84,85,Parveen Travels Private Limited,"1,700,000.00"
85,86,Abco India Private Limited,"1,600,000.00"
86,87,Si Investments And Broking Private Limited,"1,600,000.00"
87,88,Medi Assist Insurance Tpa Private Limited,"1,600,000.00"
88,89,Ascendas It Park (Chennai) Limited,"1,500,000.00"
89,90,J. Ray Mcdermott Engineering Services Private Limited,"1,500,000.00"
90,91,The Ayer Manis Rubber Estate Limited,"1,500,000.00"
91,92,Esdotcom Support & Software Services Private Limited,"1,500,000.00"
92,93,Blue Cross Laboratories Private Limited,"1,500,000.00"
93,94,Repco Home Finance Limited,"1,400,000.00"
94,95,Spencer International Hotels Limited,"1,400,000.00"
95,96,Visionary Rcm Infotech (India) Private Limited,"1,400,000.00"
96,97,Tvs Dynamic Global Freight Services Limited,"1,400,000.00"
97,98,Capital First Limited,"1,400,000.00"
98,99,Ava Cholayil Health Care Private Limited,"1,400,000.00"
99,100,Savera Industries Limited,"1,300,000.00"
100,101,Express Infrastructure Private Limited,"1,300,000.00"
101,102,Lister Technologies Private Limited,"1,300,000.00"
102,103,Heidelberg India Private Limited,"1,300,000.00"
103,104,Ecgc Limited,"1,300,000.00"
104,105,Sundaram Dynacast Private Limited,"1,300,000.00"
105,106,Naga Limited,"1,200,000.00"
106,107,Family Health Plan Insurance Tpa Limited,"1,200,000.00"
107,108,Newsmen Associates Ltd,"1,200,000.00"
108,109,Idbi Bank Limited,"1,200,000.00"
109,110,Client Network Services India Private Limited,"1,200,000.00"
110,111,Mps Limited,"1,200,000.00"
111,112,India Shoes Exports Private Limited,"1,200,000.00"
112,113,Mrf Corp Limited,"1,200,000.00"
113,114,Lalithaa Jewellery Mart Private Limited,"1,200,000.00"
114,115,Pershing India Operational Services Private Limited,"1,200,000.00"
115,116,Sim Infosystems Private Limited,"1,100,000.00"
116,117,Eppendorf India Limited,"1,100,000.00"
117,118,Toshiba Machine (Chennai) Private Limited,"1,000,000.00"
118,119,Danieli India Limited,"1,000,000.00"
119,120,Farida Classic Shoes Private Limited,"1,000,000.00"
120,121,Hdfc Asset Management Company Limited,"1,000,000.00"
121,122,The Karur Vysya Bank Limited,"1,000,000.00"
122,123,Spinco Biotech Private Limited,"1,000,000.00"
123,124,G G S Information Services India Private  Limited,"1,000,000.00"
124,125,Can Fin Homes Limited,"1,000,000.00"
125,126,Globelink Ww India Private Limited,"1,000,000.00"
126,127,Orient Blackswan Private Limited,"1,000,000.00"
127,128,Mil Industries Limited,"1,000,000.00"
128,129,Overseas Polymers Private Limited,"900,000.00"
129,130,Tamilnadu Urban Infrastructure Financial  Services Limited,"900,000.00"
130,131,Take Solutions Limited,"900,000.00"
131,132,Perfetti Van Melle India Private Limited,"900,000.00"
132,133,Opc Asset Solutions Private Limited,"900,000.00"
133,134,Indian Syntans Investments Private Limited,"900,000.00"
134,135,Med-El India Private Limited,"800,000.00"
135,136,Premier Evolvics Private Limited,"800,000.00"
136,137,Mmc Infotech Services Private Limited,"800,000.00"
137,138,Synechron Technologies Private Limited,"800,000.00"
138,139,R.Stahl Private Limited,"700,000.00"
139,140,Ansys Software Private Limited,"700,000.00"
140,141,Experis It Private Limited,"700,000.00"
141,142,Belstar Investment And Finance Private Limited,"700,000.00"
142,143,Parry Agro Industries Limited,"700,000.00"
143,144,Tamilnadu Industrial Investment Corporation Limited,"700,000.00"
144,145,Grand Royale Enterprises Limited,"700,000.00"
145,146,Temasek Holdings Advisors India Private Limited,"700,000.00"
146,147,Meenakshi Narayanan Investments Private Limited,"700,000.00"
147,148,Msys Tech India Private Limited,"700,000.00"
148,149,Repco Micro Finance Limited,"700,000.00"
149,150,Termoplast Pollypacks Italy (India) Private Limited,"700,000.00"
150,151,Shin Thermo Dynamic Engineering Private Limited,"600,000.00"
151,152,Src Projects Private Limited,"600,000.00"
152,153,S.M.I.L.E. Microfinance Limited,"600,000.00"
153,154,Microsoft Research Lab India Private Limited,"600,000.00"
154,155,Caplin Point Laboratories Limited,"600,000.00"
155,156,Sbi Capital Markets Limited,"500,000.00"
156,157,Ars Energy Private Limited,"500,000.00"
157,158,Iic Technologies Limited,"500,000.00"
158,159,Bnp Paribas India Solutions Private Limited,"500,000.00"
159,160,Komatsu India Private Limited,"500,000.00"
160,161,Nova Techset Private Limited,"500,000.00"
161,162,Kemin Industries South Asia Private Limited,"500,000.00"
162,163,Electrolab (India) Private Limited,"500,000.00"
163,164,Keyaram Developers & Hotels Private Limited,"500,000.00"
164,165,Century Flour Mills Limited,"500,000.00"
165,166,Associated Printers (Madras) Private Limited,"500,000.00"
166,167,Allsec Technologies Limited,"500,000.00"
167,168,S.G.P.Exim Private Limited,"500,000.00"
168,169,Ashok Matches And Timber Industries Private Limited,"500,000.00"
169,170,Ti Financial Holdings Limited,"500,000.00"
170,171,Avt Mccormick Ingredients Private Limited,"500,000.00"
171,172,Rane Holdings Limited,"500,000.00"
172,173,Idbi Federal Life Insurance Company Limited,"500,000.00"
173,174,Sodexo Facilities Management Services India Private Limited,"500,000.00"
174,175,Avt Natural Products Limited,"500,000.00"
175,176,Yesha Electricals Private Limited,"500,000.00"
176,177,Ingersoll - Rand Technologies And Services Private Limited,"500,000.00"
177,178,Hella India Automotive Private Limited,"400,000.00"
178,179,Sirius Computer Solutions India Private Limited,"400,000.00"
179,180,Sicgil India Limited,"400,000.00"
180,181,Nucleus Software Exports Limited,"400,000.00"
181,182,Equitas Holdings Limited,"400,000.00"
182,183,Pondy Oxides And Chemicals Limited,"300,000.00"
183,184,Mecaplast India Private Limited,"300,000.00"
184,185,Thirdware Solution Limited,"300,000.00"
185,186,Shriram Transport Finance Company Limited,"300,000.00"
186,187,Shriram Housing Finance Limited,"300,000.00"
187,188,Astrazeneca India Private Limited,"300,000.00"
