,Uttar Pradesh
 Kheri,0.0
Agra,38300000.0
Aligarh,6200000.0
Allahabad,7000000.0
Ambedkar Nagar,0.0
Amethi,0.0
Amroha,0.0
Auraiya,0.0
Azamgarh,0.0
Baghpat,4200000.0
Bahraich,0.0
Ballia,0.0
Balrampur,5200000.0
Banda,0.0
Barabanki,0.0
Bareilly,13800000.0
Basti,10200000.0
Bhadohi,0.0
Bijnor,2500000.0
Budaun,0.0
Bulandshahr,300000.0
Chandauli,0.0
Chitrakoot,0.0
Deoria,3100000.0
Etah,1800000.0
Etawah,0.0
Faizabad,0.0
Farrukhabad,800000.0
Fatehpur,0.0
Firozabad,0.0
Gautam Buddha Nagar,62400000.0
Ghaziabad,27400000.0
Ghazipur,31100000.0
Gonda,0.0
Gorakhpur,7200000.0
Hamirpur,0.0
Hapur,600000.0
Hardoi,700000.0
Hathras,0.0
Jalaun,0.0
Jaunpur,500000.0
Jhansi,200000.0
Kannauj,0.0
Kanpur Dehat,6700000.0
Kanpur Nagar,0.0
Kanshiram Nagar,0.0
Kaushambi,0.0
Kushinagar,7600000.0
Lalitpur,11300000.0
Lucknow,58800000.0
Maharajganj,14400000.0
Mahoba,0.0
Mainpuri,0.0
Mathura,18100000.0
Mau,0.0
Meerut,6700000.0
Mirzapur,0.0
Moradabad,6800000.0
Muzaffarnagar,3600000.0
Pilibhit,10200000.0
Pratapgarh,8900000.0
Raebareli,0.0
Rampur,9000000.0
Saharanpur,3900000.0
Sambhal,0.0
Sant Kabir Nagar,0.0
Shahjahanpur,0.0
Shamali,0.0
Shravasti,1000000.0
Siddharthnagar,0.0
Sitapur,0.0
Sonbhadra,5200000.0
Sultanpur,0.0
Unnao,0.0
Varanasi,151400000.0
