,SNo.,company,amount
0,1,Tata Value Homes Limited,"1,200,000.00"
1,2,Kamachi Industries Limited,"1,100,000.00"
2,3,Ebm-Papst India Private Limited,"200,000.00"
3,4,Novus Animal Nutrition (India) Private Limited,"100,000.00"
4,5,K.T.V. Health Food Private Limited,0.00
