,Chhattisgarh
Balod,0.0
Baloda Bazar,0.0
Balrampur,0.0
Bastar,0.0
Bemetara,0.0
Bijapur,0.0
Bilaspur,300000.0
Dantewada ,0.0
Dhamtari,0.0
Durg,1300000.0
Gariaband,0.0
Janjgir Champa,0.0
Jashpur,2600000.0
Kabirdham,0.0
Kanker,0.0
Kondagaon,0.0
Korba,1700000.0
Koriya,0.0
Mahasamund,0.0
Mungeli,0.0
Narayanpur,0.0
Raigarh,52900000.0
Raipur,15100000.0
Rajnandgaon,13700000.0
Sukma,0.0
Surajpur,0.0
Surguja,44600000.0
