,SNo.,company,amount
0,1,Jindal Power Limited,"47,400,000.00"
1,2,Power Grid Corporation Of India Limited,"1,900,000.00"
2,3,Indian Energy Exchange Limited,"1,500,000.00"
3,4,Shanthi Gears Limited,"1,000,000.00"
4,5,Dfm Foods Limited,"600,000.00"
5,6,Epic Alloy Steel Private Limited,"500,000.00"
6,7,Salarpuria Consultants Pvt Ltd,0.00
