,SNo.,company,amount
0,1,Deutsche Investments India Private Limited,"19,100,000.00"
1,2,The New India Assurance Company Limited,"14,400,000.00"
2,3,Pnb Housing Finance Limited,"8,600,000.00"
3,4,Globe Fincap Limited.,"6,600,000.00"
4,5,Reservation Data Maintainence (India) Private Limited,"5,300,000.00"
5,6,Tata Aig General Insurance Company Limited,"5,000,000.00"
6,7,Chowdry Associates,"3,000,000.00"
7,8,Il & Fs Education & Technology Services Limited,"2,900,000.00"
8,9,Aska Equipments Limited (Transfered From  Maharashtra),"2,900,000.00"
9,10,P F I L Securities Limited,"2,000,000.00"
10,11,Jdm Credit Services Private Limited,"1,800,000.00"
11,12,Citigroup Global Markets India Private Limited,"1,500,000.00"
12,13,Basant Projects Limited,"1,500,000.00"
13,14,M Agarwal Stock Brokers Private Limited,"900,000.00"
14,15,Om Telecom Logistics Private Limited,"700,000.00"
15,16,Raghu Trading And Investment Company Private Limited,"500,000.00"
16,17,Renaissance Advanced Consultancy Limited,"400,000.00"
17,18,Orix Leasing & Financial Services India Limited,"400,000.00"
18,19,Tribal Fusion R&D; Private Limited,"300,000.00"
19,20,Prometric Testing Private Limited Tfr. From Delhi To Haryana,"300,000.00"
20,21,Avalokiteshvar Valinv Limited,"200,000.00"
21,22,Shardul Securities Limited,"200,000.00"
22,23,Shree Nirman Ltd,"200,000.00"
23,24,Tourism Finance Corporation Of India Limited,0.00
24,25,Aig Data Services Private Limited,0.00
25,26,Inmacs Microsystems Private Limited,0.00
26,27,Sunlight Buildcon Private Limited,0.00
27,28,Niraj Industries Private Limited,0.00
28,29,Asf Insignia Sez Private Limited,0.00
29,30,Sarvashaktiman Traders Private Limited,0.00
30,31,Puran Associates Private Limited,0.00
31,32,Burmans Finvest Private Limited,0.00
32,33,Milky Investment And Trading Company,0.00
33,34,Asia Pragati Capfin Private Limited,0.00
34,35,Viavi Solutions India Private Limited,0.00
35,36,Wiztrack Learning Private Limited,0.00
36,37,Nuvo Chryscapital Advisors Private Limited,0.00
37,38,The Associated Chambers Of Commerce And Industry Of India,0.00
38,39,Sykes And Ray Equities (India ) Ltd,0.00
39,40,Busch Vacuum India Private Limited,0.00
