,SNo.,company,amount
0,1,Cholamandalam Investment And Finance Company Limited,"4,800,000.00"
1,2,Idbi Bank Limited,"800,000.00"
2,3,Ecgc Limited,"500,000.00"
3,4,Arofine Polymers Private Limited,"300,000.00"
