,SNo.,company,amount
0,1,Aditya Birla Finance Limited,"2,900,000.00"
1,2,India Infoline Housing Finance Limited,"1,000,000.00"
2,3,Baramati Cattlefeeds Pvt Ltd,"900,000.00"
3,4,Balaji Amines Limited,"800,000.00"
4,5,Power Grid Corporation Of India Limited,"500,000.00"
5,6,Gera Developments Private Limited,"500,000.00"
6,7,Virbac Animal Health India Private Limited,"300,000.00"
7,8,Jaro Institute Of Technology Management And Research Limited,"100,000.00"
8,9,Oc Specialities Private Limited,0.00
9,10,Shardul Securities Limited,0.00
