,West Bengal
Alipurduar,1418000.0
Bankura,3181004.0
Birbhum,1130000.0
Cooch Behar,0.0
Dakshin Dinajpur,0.0
Darjeeling,0.0
Hooghly,6905000.0
Howrah,1768415.0
Jalpaiguri,4117500.0
Jhargram,0.0
Kalimpong,0.0
Kolkata,594506150.0
Malda,0.0
Murshidabad,2750000.0
Nadia,16658000.0
North 24 Parganas,2400000.0
Paschim Bardhaman,0.0
Paschim Medinipur,0.0
Purba Bardhaman,0.0
Purba Medinipur,0.0
Purulia,36419597.0
South 24 Parganas,10935000.0
Uttar Dinajpur,0.0
