,Bihar
Araria,0.0
Arwal,0.0
Aurangabad,0.0
Banka,567000.0
Begusarai,21900000.0
Bhagalpur,2100000.0
Bhojpur,0.0
Buxar,2500000.0
Darbhanga,29739.0
East Champaran (Motihari),0.0
Gaya,4666400.0
Gopalganj,0.0
Jamui,0.0
Jehanabad,1600000.0
Kaimur ,0.0
Katihar,0.0
Khagaria,0.0
Kishanganj,900000.0
Lakhisarai,0.0
Madhepura,0.0
Madhubani,17750.0
Munger,108000.0
Muzaffarpur,20586221.0
Nalanda,1110000.0
Nawada,0.0
Patna,27944307.0
Purnia,0.0
Rohtas,0.0
Saharsa,7689000.0
Samastipur,1450000.0
Saran,800000.0
Sheikhpura,0.0
Sheohar,0.0
Sitamarhi,1968786.0
Siwan,0.0
Supaul,0.0
Vaishali,2400000.0
West Champaran,0.0
