,Telangana
Adilabad,100000.0
Bhadradri Kothagudem,0.0
Hyderabad,829920183.68
Jagtial,0.0
Jangaon,0.0
Jayashankar,0.0
Jogulamba,0.0
Kamareddy,0.0
Karimnagar,26820101.0
Khammam,51885310.0
Komaram Bheem,0.0
Mahabubabad,0.0
Mahbubnagar,0.0
Mancherial,0.0
Medak,0.0
Medchal,0.0
Nagarkurnool,0.0
Nalgonda,28039840.0
Nirmal,0.0
Nizamabad,186000.0
Peddapalli,0.0
Rajanna Sircilla,0.0
Ranga Reddy,74087504.0
Sangareddy,174350.0
Siddipet,0.0
Suryapet,0.0
Vikarabad,0.0
Wanaparthy,0.0
Warangal Rural,0.0
Warangal Urban,0.0
Yadadri Bhuvanagiri,0.0
