,Odisha
Angul,34100000.0
Balangir,0.0
Balasore,4100000.0
Bargarh,0.0
Bhadrak,4600000.0
Boudh,0.0
Cuttack,11900000.0
Deogarh,0.0
Dhenkanal,0.0
Gajapati,0.0
Ganjam,0.0
Jagatsinghapur,0.0
Jajpur,6600000.0
Jharsuguda,0.0
Kalahandi,3000000.0
Kandhamal,4000000.0
Kendrapara,0.0
Kendujhar,0.0
Khordha,10000000.0
Koraput,0.0
Malkangiri,0.0
Mayurbhanj,0.0
Nabarangpur,0.0
Nayagarh,0.0
Nuapada,0.0
Puri,700000.0
Rayagada,0.0
Sambalpur,2200000.0
Subarnapur,0.0
Sundargarh,0.0
