,SNo.,company,amount
0,1,Bhaskar Industries Private Limited,"4,954,000.00"
1,2,Hewlett-Packard Globalsoft Private Limited,"4,502,500.00"
2,3,Omega Renk Bearings Private Limited,"2,200,000.00"
3,4,Rural Electrification Corporation Limited,"2,017,658.00"
4,5,Jehan Numa Palace Hotel Pvt Ltd,"1,800,000.00"
5,6,Rolta India Limited,"1,500,000.00"
6,7,Tata Asset Management Limited,"1,000,000.00"
7,8,Brightstar Infrastructure Private Limited,"702,624.00"
8,9,Housing And Urban Development Corporation Limited,0.00
9,10,R.M.Chemicals Pvt Ltd,0.00
