,Madhya Pradesh
Agar Malwa,0.0
Alirajpur,0.0
Anuppur,0.0
Ashoknagar,0.0
Balaghat,27111000.0
Barwani,3190019.0
Betul,14580060.0
Bhind,98100000.0
Bhopal,18676782.0
Burhanpur,0.0
Chhatarpur,0.0
Chhindwara,0.0
Damoh,1003000.0
Datia,0.0
Dewas,10162046.01
Dhar,1384000.0
Dindori,7230000.0
Guna,0.0
Gwalior,120000.0
Harda,0.0
Hoshangabad,4453650.0
Indore,32765963.71
Jabalpur,4872000.0
Jhabua,0.0
Katni,0.0
Khandwa,26312819.0
Khargone,2220000.0
Mandla,399000.0
Mandsaur,47000.0
Morena,0.0
Narsinghpur,0.0
Neemuch,0.0
Panna,0.0
Raisen,10777000.0
Rajgarh,0.0
Ratlam,0.0
Rewa,2000000.0
Sagar,6451894.0
Satna,3636000.0
Sehore,62100000.0
Seoni,733000.0
Shahdol,36000.0
Shajapur,0.0
Sheopur,324695.0
Shivpuri,0.0
Sidhi,2000000.0
Singrauli,498229000.0
Tikamgarh,0.0
Ujjain,6941000.0
Umaria,0.0
Vidisha,310000.0
