,Rajasthan
Ajmer,212709000.0
Alwar,175939666.63
Banswara,5750000.0
Baran,1000000.0
Barmer,100234099.0
Bharatpur,5381011.0
Bhilwara,67839223.0
Bikaner,37507531.0
Bundi,824381.0
Chittorgarh,42365649.0
Churu,1825000.0
Dausa,0.0
Dholpur,1800000.0
Dungarpur,24187100.0
Ganganagar,32000.0
Hanumangarh,0.0
Jaipur,263484462.0
Jaisalmer,40096300.0
Jalore,9600000.0
Jhalawar,48043899.0
Jhunjhunu,55729168.0
Jodhpur,31416226.0
Karauli,0.0
Kota,81154794.0
Nagaur,41700914.0
Pali,31456838.0
Pratapgarh,1805056.0
Rajsamand,8362500.0
Sawai Madhopur,2257000.0
Sikar,4985050.0
Sirohi,9586000.0
Tonk,1786200.0
Udaipur,94669902.0
