,SNo.,company,amount
0,1,Havells India Limited,"81,000,000.00"
1,2,Ve Commercial Vehicles Limited,"29,140,000.00"
2,3,Idfc Limited,"10,400,000.00"
3,4,Desiccant Rotors International Private Limited,"9,342,873.00"
4,5,Qrg Enterprises Limited.,"6,368,000.00"
5,6,Coal India Ltd Govt Of India Undertaking,"4,800,000.00"
6,7,Ecl Finance Limited,"3,626,960.00"
7,8,Krish Infrastructure Private Limited,"3,300,000.00"
8,9,Apm Industries Limited,"3,245,000.00"
9,10,Roca Bathroom Products Private Limited,"3,133,000.00"
10,11,Wapcos Limited,"2,872,238.00"
11,12,I P Support Services (India) Pvt Ltd,"2,834,206.00"
12,13,Hsil Limited,"2,507,000.00"
13,14,Ginni International Ltd. (Transfer From Delhi To Raj.),"2,321,000.00"
14,15,Jaquar And Company Private Limited,"1,797,983.53"
15,16,Honda Motorcycle And Scooter India Pvt Ltd,"1,500,000.00"
16,17,Yutaka Autoparts India Private Limited,"1,300,000.00"
17,18,The Hi-Tech Gears Limited,"1,068,662.00"
18,19,Idfc Asset Management Company Limited,"900,000.00"
19,20,Tafe Motors And Tractors Limited,"750,000.00"
20,21,Canara Hsbc Oriental Bank Of Commerce Life Insurance Company Limited,"600,000.00"
21,22,Fullerton India Credit Company Limited,"588,000.00"
22,23,Kadimi Tool Manufacturing Company Private Limited,"452,700.00"
23,24,Pernod Ricard India Private Limited,"450,000.00"
24,25,Federal-Mogul Goetze (India) Limited,"380,000.00"
25,26,Eicher Goodearth Private Limited.,"300,000.00"
26,27,Idfc Alternatives Limited,"299,029.00"
27,28,Container Corporation Of India Limited,"268,000.00"
28,29,Orient Refractories Limited,"235,000.00"
29,30,Sun Pharma Laboratories Limited,"100,000.00"
30,31,Carlsberg India Private Limited,"60,000.00"
31,32,Federal - Mogul Ignition Products India Limited,15.10
32,33,Skipperseil Limited,0.00
