,SNo.,company,amount
0,1,Borsad Tobacco Company Private Limited,"33,120,000.00"
1,2,Tata Communications Transformation Services Limited,"15,755,000.00"
2,3,Chand Fruit Company Private Limited,"4,000,000.00"
3,4,Kader Exports Private Limited,"2,000,000.00"
4,5,Sanand Properties Private Limited,"1,000,000.00"
