,0
Bses Yamuna Power Limited,1573524000
Wipro Limited,1511580000
Rural Electrification Corporation Limited,1294732031
Reliance Industries Limited,1281000000
South Eastern Coalfields Limited,1276800000
Udupi Power Corporation Limited,700000000
Bajaj Auto Limited.,628100000
Infosys Limited,603000000
Gujarat Mineral Development Corporation Limited,538849110
Fresenius Kabi Oncology Limited,534300000
Dr.Reddy'S Laboratories Ltd,500000000
Coal India Ltd Govt Of India Undertaking,456281000
Indian Oil Corpn. Limited,361200000
Bharat Heavy Electricals Limited,327704000
Reliance Infrastructure Limited,321700000
Jammu And Kashmir Bank Limited,282125114
Hindustan Aeronautics Limited,271450000
Zee Entertainment Enterprises Limited,212640000
Indiabulls Housing Finance Limited,212000000
Cholamandalam Investment And Finance Company Limited,191100000
Bandhan Financial Services Limited,187968160
Rosa Power Supply Company Limited,183700000
Bajaj Allianz Life Insurance Company Limited,179500000
Jindal Power Limited,169435418
Aurobindo Pharma Ltd,167494486
Cadila Healthcare Limited,164560000
Power Grid Corporation Of India Limited,163805000
Cesc Ltd,158802070
Jsw Energy Limited,153054501
Container Corporation Of India Limited,151225000
Sopariwala Exports Private Limited,144000000
Shree Cement Limited,141100000
Cummins India Limited,137303000
Manappuram Finance Limited,136677103
Northern Coalfields Limited,132087000
Vedanta Limited,131500000
Bharti Airtel Limited,129400000
Bharat Forge Ltd,123270000
India Infoline Finance Limited,118905150
Indusind Bank Ltd.,108600000
Nlc India Limited,105355000
Cg Power And Industrial Solutions Limited,104500000
Patton International Ltd,104000000
Il&Fs; Tamil Nadu Power Company Limited,100100000
Bharti Infratel Limited,100000000
Kotak Mahindra Bank Limited,98362952
Reliance Capital Ltd,98300000
India Infrastructure Finance Company Limited,97749508
Strides Shasun Limited,95710000
Mrf Limited,89480000
Havells India Limited,84800000
Birla Sun Life Insurance Company Limited,82200000
Sundaram Finance Limited,81600000
City Union Bank Limited,80600000
Prescient Securities Private Limited,80000000
Housing Development Finance Corporation Limited,76833000
Bajaj Allianz General Insurance Company Limited,76500000
Hindustan Copper Ltd,75604000
Standard Chartered Global Business Services Private Limited,74100000
Cochin International Airport Limited,74068600
Cairn India Limited,73300000
Arvind Limited,72700000
Il&Fs; Financial Services Limited,67180462
Danfoss Industries Private Limited,66893877
Bajaj Finance Limited,65000000
Idfc Limited,64000000
Schaeffler India Limited,62900000
Maharashtra State Power Generation Company Limited,62002000
S.G.P.Exim Private Limited,61500000
Gujarat Industries Power Company Ltd.,61405828
Borsad Tobacco Company Private Limited,60329000
Primal Projects Private Limited,60000000
Dishman Pharmaceuticals And Chemicals Limited,60000000
Emerald Haven Realty Limited,58600000
Ve Commercial Vehicles Limited,58270000
Dewan Housing Finance Corporation Limited,57572076
Patanjali Ayurved Limited,57500000
Zydus Hospira Oncology Private Limited,56880000
Modern Road Makers P Ltd,55200000
Cipla Limited,54900000
Godrej Consumer Products Limited,54800000
Al-Faheem Meatex Private Limited,54200000
Apollo Hospitals Enterprise Limited,53640000
Cochin Shipyard Limited,53277000
Goldman Sachs Services Private Limited,52400000
Raj Westpower Ltd,51951284
Ifci Limited,51824000
Rajasthan Rajya Vidyut Utpadan Nigam Limited,50800000
Sun Tv Network Limited,50500000
Alembic Pharmaceuticals Limited,50150000
Irb Infrastructure Developers Limited,50110000
Glenmark Pharmaceuticals Limited,49740000
Indian Railway Finance Corporation Limited,49374000
Axis Bank Limited,49037480
Rites Limited,49000000
Tata Communications Limited,47800000
General Insurance Corporation Of India,47104187
Zensar Technologies Limited,46200000
Sun Pharma Laboratories Limited,45580000
Central Coalfields Limited,45496000
Shriram Transport Finance Company Limited,45319000
Ajeet Seeds Private Limited,45200000
Qualcomm India Private Limited,45030000
Nandi Roller Flour Mills Private Limited,43874243
Nava Bharat Ventures Limited,43503000
Birla Corporation Limited,43494000
Bajaj Holdings & Investment Limited.,42625000
Ppn Power Generating Company Private Limited,42200000
Nidec Industrial Automation India Private Limited,41540000
Sap India Private Limited,40310000
Reliance Power Limited,40200000
Tractors And Farm Equipment Limited.,40000000
Ecl Finance Limited,39960645
Vadinar Power Company Limited,39500000
Hasham Investment And Trading Co Pvt Ltd,39065209
Bharathi Cement Corporation Privatelimited,38900000
Ansal Properties And Infrastructure Limited,38500000
Godawari Power And Ispat Limited,38443000
Kpit Technologies Limited,38370000
John Deere India Private Limited,38290000
The New India Assurance Company Limited,38000000
Emcure Pharmaceuticals Limited,37800000
Eaton Technologies Private Limited,37514300
Aravali Power Company Private Limited,37013238
Mercedes-Benz India Private Limited,37000000
Skf India Limited,36800000
Elgi Equipments Limited,36700000
Saint-Gobain India Private Limited,35500000
Credit Suisse Securities (India) Private  Limited,35255442
Beml Limited,35026000
Dell International Services India Private Limited,35000000
Haryana State Industrial & Infrastructure Development Corporation Limited,34865954
Bharat Coking Coal Limited,34700000
Nuvoco Vistas Corporation Limited,34400000
K.P.R. Mill Limited,34100000
Hyundai Motor India Limited,34100000
Desiccant Rotors International Private Limited,33476213
Reliance Retail Limited,32500000
Equitas Micro Finance Limited,32094489
Akums Drugs And Pharmaceuticals Limited,32000000
Kitex Garments Limited,31969606
Powerlinks Transmission Limited,31225000
The Supreme Industries Limited,31129000
Karnataka Power Corporation Limited,31100206
Soex India Private Limited,31000000
Andhra Pradesh Power Generation Corporation Limited,30780000
Palepu Pharma Private Limited,30500000
Claris Lifesciences Limited,30500000
Godfrey Phillips India Limited,30396000
Honeywell Automation India Limited,30300000
R.K. Marble Private Limited,30200000
Piaggio Vehicles Private Limited,30150000
Tafe Motors And Tractors Limited,29550000
Bengal Finance And Investment Private Limited,29500000
Biocon Limited,29210000
Target Corporation India Private Limited,28900000
Gujarat State Financial Services Ltd,28821354
Itc Infotech India Limited,28300000
Rajasthan State Industrial Development And Investment Corporation Ltd,28194000
Bayer Cropscience Limited,28020000
Ntpc Tamil Nadu Energy Company Limited,28000000
Kalyan Jewellers India Limited,27877000
Stci Finance Limited,27435000
Mahindra And Mahindra Financial Services Limited,27435000
Secure Meters Limited,27250000
Honeywell Turbo Technologies (India) Private Limited,27160000
Avaya India Private Limited,27037000
Laurus Labs Limited,26650326
Thermax Limited.,26431000
Rajasthan Gum Private Limited,26430000
Hsbc Software Development (India) Private Limited,26390000
Vakrangee Limited,26275000
Firstsource Solutions Limited,25880000
Oswal Greentech Limited,25600000
Hero Cycles Limited,25110000
Wadhwagroup Holdings Private Limited,25000000
Mhaiskar Infrastructure Private Limited,25000000
Ntpc-Sail Power Company Private Limited,24392800
Au Financiers (India) Limited,23951167
Ireo Private Limited,23902833
Comviva Technologies Limited,23881197
Roha Dye Chem Private Limited,23600000
Tata Aig General Insurance Company Limited,23277062
Rashtriya Ispat Nigam Ltd,23256000
Infrastructure Leasing And Financial Services Limited,23063600
Robert Bosch Engineering And Business Solutions Private Limited,23000000
Dlf Limited,22995000
Aditya Birla Finance Limited,22910607
Gannon Dunkerley And Company Limited,22695000
Bharat Dynamics Limited,22651000
Deloitte Consulting India Private Limited,22506784
Bses Rajdhani Power Limited,22400000
Idbi Bank Limited,22148102
Solar Industries India Limited,22100000
National Engineering Industries Limited,21873000
Pnb Housing Finance Limited,21771000
Inautix Technologies India Private Limited,21550000
Rajasthan State Mines And Minerals Ltd,21418028
International Tractors Limited,21353000
Indo-Mim Private Limited,21300000
Kaveri Seed Company Ltd.,21219101
Sbi Capital Markets Limited,21184000
Senco Gold Limited,21100000
Bharatiya Reserve Bank Note Mudran Private Limited,21100000
Sanghi Industries Limited,20918217
Gmr Kamalanga Energy Limited,20850000
Jaquar And Company Private Limited,20708530
Equitas Finance Limited,20600000
Clp India Private Limited,20528659
Mangalam Cement Ltd,20478000
Aditya Birla Fashion And Retail Limited,20381000
North Eastern Development Finance Corporation Limited,20300000
Juniper Networks India Private Limited,20142895
Entertainment Network (India) Limited,20100000
Gujarat Energy Transmission Corporation Limited,20100000
Brigade Enterprises Limited,20092000
