,Unnamed: 0,Unnamed: 0.1,name,CIN,NIC,amount
0,980,980,Dr.Reddy'S Laboratories Ltd,,,500000000
1,2580,2580,Nlc India Limited,,,105355000
2,690,690,Cg Power And Industrial Solutions Limited,,,104500000
3,1641,1641,Il&Fs; Tamil Nadu Power Company Limited,,,100100000
4,3472,3472,Standard Chartered Global Business Services Private Limited,,,74100000
5,1639,1639,Il&Fs; Financial Services Limited,,,67180462
6,2558,2558,Nidec Industrial Automation India Private Limited,,,41540000
7,826,826,Credit Suisse Securities (India) Private  Limited,,,35255442
8,2617,2617,Nuvoco Vistas Corporation Limited,,,34400000
9,3577,3577,Synchrony International Services Private  Limited,,,17719115
10,800,800,Computer Age Management Services Private  Limited,,,16800000
11,244,244,Aparna Constructions And Estates Private  Limited,,,15302377
12,1587,1587,Hsbc Electronic Data Processing India Private Limited,,,14910293
13,1201,1201,Flextronics Technologies (India) Private  Limited,,,13800000
14,3,3,63 Moons Technologies Limited,,,12446000
15,2069,2069,L&T; Hydrocarbon Engineering Limited,,,12000000
16,2904,2904,Qube Cinema Technologies Private Limited,,,7600000
17,2740,2740,Passionate Investment Management Private  Limited,,,7400000
18,1586,1586,Hp India Sales Private Limited,,,7290000
19,2331,2331,Metlife Global Operations Support Center  Private Limited,,,6643400
20,954,954,Divi'S Laboratories Limited,,,6484000
21,392,392,B.L. Agro Industries Limited,,,6437264
22,1290,1290,Ge Oil & Gas India Private Limited,,,6100000
23,2437,2437,Msl Driveline Systems Limited,,,6100000
24,3924,3924,Venky'S (India) Limited,,,6000000
25,2520,2520,Nbcc (India) Limited,,,5898000
26,2236,2236,Manhattan Associates (India) Development  Centre Pvt Ltd Isc,,,5822252
27,3231,3231,Sector 113 Gatevida Developers Private Limited,,,5806000
28,1848,1848,Jsw Industrial Gases Private Limited,,,5582172
29,2610,2610,Ntt Data Information Processing Services Private Limited,,,5237106
30,3920,3920,Venco Research And Breeding Farm Private  Limited,,,4119600
31,3999,3999,Volvo Group India Private Limited,,,3840000
