,CIN,name_x,name_y
0,L01100MH1996PLC100380,USHER AGRO LIMITED,Usher Agro Limited
1,L01111DL1993PLC052845,KRBL LIMITED,Krbl Limited
2,L01132AS1977PLC001706,WARREN TEA LIMITED,Warren Tea Limited
3,L01132TZ1922PLC000234,THE UNITED NILGIRI TEA ESTATES COMPANY LIMITED,The United Nilgiri Tea Estates Company Limited
4,L01132WB1918PLC003029,NAGA DHUNSERI GROUP LTD.,Naga Dhunseri Group Ltd.
5,L01132WB1919PLC003334,BIRLA CORPORATION LIMITED,Birla Corporation Limited
6,L01132WB1994PLC063513,ROSSELL INDIA LIMITED,Rossell India Limited
7,L01222TZ1995PLC006025,SKM EGG PRODUCTS EXPORT INDIA LIMITED,Skm Egg Products Export India Limited
8,L03210TZ1985PLC001535,SALZER ELECTRONICS LIMITED,Salzer Electronics Limited
9,L05005AP1987PLC018436,THE WATERBASE LIMITED,The Waterbase Limited
10,L10889MH1957PLC010889,GARWARE POLYESTER LIMITED,Garware Polyester Limited
11,L11101MH2006PLC163934,CAIRN INDIA LIMITED,Cairn India Limited
12,L13209GA1965PLC000044,VEDANTA LIMITED,Vedanta Limited
13,L14100GJ1963SGC001206,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,Gujarat Mineral Development Corporation Limited
14,L14101KA1989PLC062041,PACIFIC INDUSTRIES LIMITED,Pacific Industries Limited
15,L14101MH1945PLC256122,ASSOCIATED STONE INDUSTRIES (KOTAH) LIMITED,Associated Stone Industries (Kotah) Limited
16,L14101RJ1984PLC003134,ELEGANT MARBLES AND GRANI INDUSTRIES LIMITED,Elegant Marbles And Grani Industries Limited
17,L14102TG1991PLC013299,POKARNA LIMITED,Pokarna Limited
18,L15122WB2007PLC162762,ASIAN HOTELS (EAST) LIMITED,Asian Hotels (East) Limited
19,L15140GJ1991PLC016151,GUJARAT AMBUJA EXPORTS LIMITED,Gujarat Ambuja Exports Limited
20,L15140MH1986PLC038536,RUCHI SOYA INDUSTRIES LIMITED,Ruchi Soya Industries Limited
21,L15140MH1988PLC049208,MARICO LIMITED,Marico Limited
22,L15142GJ1992PLC018745,GOKUL REFOILS AND SOLVENT LIMITED,Gokul Refoils And Solvent Limited
23,L15142WB1974PLC029184,MINT INVESTMENTS LTD,Mint Investments Ltd
24,L15201GJ1994PLC023490,ZYDUS WELLNESS LIMITED,Zydus Wellness Limited
25,L15311DL1993PLC052624,DFM FOODS LIMITED,Dfm Foods Limited
26,L15319PB1979PLC012267,OSWAL AGRO MILLS LIMITED,Oswal Agro Mills Limited
27,L15412WB1918PLC002964,BRITANNIA INDUSTRIES LTD,Britannia Industries Ltd
28,L15419PN1985PLC037347,TASTY BITE EATABLES LIMITED,Tasty Bite Eatables Ltd
29,L15421WB1975PLC030118,BALRAMPUR CHINI MILLS LTD,Balrampur Chini Mills Ltd
30,L15491WB1945PLC012771,JAY SHREE TEA AND INDUSTRIES LIMITED,Jay Shree Tea And Industries Limited
31,L15491WB1962PLC031425,TATA GLOBAL BEVERAGES LIMITED,Tata Global Beverages Limited
32,L15491WB1997PLC082808,DHUNSERI INVESTMENTS LIMITED,Dhunseri Investments Limited
33,L15492WB1916PLC002697,DHUNSERI PETROCHEM AND TEA LIMITED,Dhunseri Petrochem Limited
34,L15492WB1924GOI004835,BALMER LAWRIE AND COMPANY LIMITED,Balmer Lawrie And Company Limited
35,L15499TN1986PLC012747,HATSUN AGRO PRODUCT LIMITED,Hatsun Agro Product Limited
36,L15511TN1983PLC010313,EMPEE DISTILLERIES LIMITED,Empee Distilleries Limited
37,L16004MH1936PLC008587,GODFREY PHILLIPS INDIA LIMITED,Godfrey Phillips India Limited
38,L16008UP1983PLC006254,KOTHARI PRODUCTS LIMITED.,Kothari Products Limited.
39,L17110GJ1931PLC000454,SINTEX INDUSTRIES LIMITED,Sintex Industries Limited
40,L17110MH1973PLC019786,RELIANCE INDUSTRIES LIMITED,Reliance Industries Limited
41,L17111HP1982PLC016465,DEEPAK SPINNERS LTD,Deepak Spinners Ltd
42,L17111PB1962PLC002463,VARDHMAN HOLDINGS LIMITED,Vardhman Holdings Limited
43,L17111PB1973PLC003345,VARDHMAN TEXTILES LIMITED,Vardhman Textiles Limited
44,L17111RJ1992PLC006987,NITIN SPINNERS LIMITED,Nitin Spinners Limited
45,L17111TN1936PLC002298,RAJAPALAYAM MILLS LIMITED,Rajapalayam Mills Limited
46,L17111TN1946PLC001361,LOYAL TEXTILE MILLS LIMITED,Loyal Textile Mills Limited
47,L17111TN1946PLC003270,VTM LIMITED,Vtm Limited
48,L17111TZ1973PLC000675,SAMBANDAM SPINNING MILLS LIMITED,Sambandam Spinning Mills Limited
49,L17111TZ1981PLC001109,SUPER SALES INDIA LIMITED,Super Sales India Limited
50,L17111TZ1989PLC002476,BANNARI AMMAN SPINNING MILLS LIMITED,Bannari Amman Spinning Mills Limited
51,L17111TZ1994PLC004797,SALONA COTSPIN LIMITED,Salona Cotspin Limited
52,L17111TZ2003PLC010518,K.P.R. MILL LIMITED,K.P.R. Mill Limited
53,L17111UP1974PLC003979,JINDAL POLY FILMS LIMITED,Jindal Poly Films Limited
54,L17112KA1985PLC006647,HIMATSINGKA SEIDE LIMITED,Himatsingka Seide Limited.
55,L17115HP1980PLC005647,WINSOME TEXTILE INDUSTRIES LIMITED,Winsome Textile Industries Limited
56,L17115PB1980PLC004341,NAHAR SPINNING MILLS LIMITED,Nahar Spinning Mills Ltd
57,L17115PB1988PLC008820,NAHAR POLY FILMS LIMITED,Nahar Poly Films Limited
58,L17115RJ1960PLC008216,RSWM LIMITED,Rswm Limited
59,L17115TZ1992PLC003798,K G DENIM LIMITED,K G Denim Limited
60,L17116MH1978PLC020451,SIYARAM SILK MILLS LIMITED,Siyaram Silk Mills Limited
