,West Bengal
Alipurduar,7400000.0
Bankura,5000000.0
Birbhum,2100000.0
Cooch Behar,0.0
Dakshin Dinajpur,0.0
Darjeeling,1600000.0
Hooghly,4300000.0
Howrah,2000000.0
Jalpaiguri,7000000.0
Jhargram,0.0
Kalimpong,0.0
Kolkata,659100000.0
Malda,400000.0
Murshidabad,2200000.0
Nadia,200000.0
North 24 Parganas,6300000.0
Paschim Bardhaman,0.0
Paschim Medinipur,0.0
Purba Bardhaman,0.0
Purba Medinipur,0.0
Purulia,9300000.0
South 24 Parganas,3700000.0
Uttar Dinajpur,0.0
