,SNo.,company,amount
113,114,Avant Garde Re-Energy Private Limited,"700,000.00"
114,115,Mint Investments Ltd,"600,000.00"
115,116,Radhamani Textiles Private Limited,"600,000.00"
116,117,Peerless Hotels Ltd.,"600,000.00"
117,118,Naga Dhunseri Group Ltd.,"500,000.00"
118,119,Grand Royale Enterprises Limited,"500,000.00"
119,120,Bengal Park Chambers Housing Development Limited,"500,000.00"
120,121,Coral India Finance And Housing Limited,"500,000.00"
121,122,Rkbk Limited,"500,000.00"
122,123,Iifl Wealth Management Limited,"500,000.00"
123,124,Smc Global Securities Limited,"500,000.00"
124,125,D. Navinchandra Gems Private Limited,"500,000.00"
125,126,Tractors India Private Limited,"500,000.00"
126,127,Adventz Securities Enterprises Limited,"500,000.00"
127,128,Merlin Holdings Pvt. Ltd.,"500,000.00"
128,129,Amore Jewels Private Limited,"500,000.00"
129,130,Bpc Tradecomm Pvt Ltd,"500,000.00"
130,131,Ambuja Neotia Holdings Private Limited,"400,000.00"
131,132,Ludlow Jute & Specialities Limited,"400,000.00"
132,133,Ifb Industries Ltd,"400,000.00"
133,134,International Combustion (India) Ltd,"400,000.00"
134,135,Swiss Singapore India Private Limited,"400,000.00"
135,136,National Insurance Co Ltd,"400,000.00"
136,137,Andrew Yule & Co Ltd,"300,000.00"
137,138,Prometric Testing Private Limited Tfr. From Delhi To Haryana,"300,000.00"
138,139,Induss Food Products & Equipments Limited,"300,000.00"
139,140,Golden Goenka Fincorp Limited,"300,000.00"
140,141,India Sme Asset Reconstruction Company Limited,"300,000.00"
141,142,Spencer And Company Limited,"300,000.00"
142,143,Sbicap Trustee Company Limited,"300,000.00"
143,144,Janalakshmi Financial Services Limited,"300,000.00"
144,145,Dream Bake Private Limited,"300,000.00"
145,146,Nagreeka Exports Ltd.,"300,000.00"
146,147,Pushpak Steel Industries Private Limited,"300,000.00"
147,148,S & Ib Services Private Limited,"200,000.00"
148,149,Carbon Finance Limited,"200,000.00"
149,150,G.D. Pharmaceuticals Private Limited,"200,000.00"
150,151,Jagson Colorchem Limited,"200,000.00"
151,152,Nezone Strips Limited,"200,000.00"
152,153,Krishi Rasayan Exports Pvt.Ltd.,"200,000.00"
153,154,Mitsubishi Elevator India Private Limited,"200,000.00"
154,155,Strassenburg Pharmaceuticals Ltd.,"200,000.00"
155,156,Agriculture Insurance Company Of India Limited,"200,000.00"
156,157,Jet Age Securities Pvt Ltd,"200,000.00"
157,158,Sundaram Bnp Paribas Home Finance Limited,"200,000.00"
158,159,Emmbi Industries Limited,"200,000.00"
