,West Bengal
Alipurduar,1689000.0
Bankura,5414000.0
Birbhum,11241439.0
Cooch Behar,0.0
Dakshin Dinajpur,0.0
Darjeeling,17916933.0
Hooghly,6720099.0
Howrah,31053401.43
Jalpaiguri,3831790.0
Jhargram,0.0
Kalimpong,0.0
Kolkata,1265266266.0
Malda,320000.0
Murshidabad,2350000.0
Nadia,183082872.0
North 24 Parganas,6266083.0
Paschim Bardhaman,0.0
Paschim Medinipur,0.0
Purba Bardhaman,0.0
Purba Medinipur,6000000.0
Purulia,41714956.0
South 24 Parganas,8695000.0
Uttar Dinajpur,0.0
