,Karnataka
Bagalkot,4984889.0
Bangalore Rural,2781976814.3099995
Bangalore Urban,401894926.0
Belgaum,14756509.0
Bellary,131994121.0
Bidar,0.0
Bijapur,844325.0
Chamarajanagar,3973285.0
Chikkamagaluru,0.0
Chikkballapur,0.0
Chitradurga,1809000.0
Dakshina Kannada,7389900.0
Davangere,0.0
Dharwad,15664202.0
Gadag,15500000.0
Gulbarga,2500000.0
Hassan,10815000.0
Haveri,5430925.0
Kodagu,2357854.0
Kolar,79675492.0
Koppal,2174003.97
Mandya,100000.0
Mysore,41571321.0
Raichur,20101610.0
Ramanagara,16860000.0
Shimoga,23434856.0
Tumkur,7984298.0
Udupi,710219178.0
Uttara Kannada,4591114.0
Yadgir,0.0
