,SNo.,company,amount
0,1,Mangalore Electricity Supply Company Limited,"1,822,847.00"
1,2,The Karnataka Bank Limited,"1,800,000.00"
2,3,Pnb Metlife India Insurance Company Limited,"827,760.00"
3,4,Diya Systems (Mangalore) Private Limited,"751,145.00"
4,5,Mandovi Motors Private Limited,"738,148.00"
5,6,Ocean Constructions (India) Private Limited,"525,000.00"
6,7,Bluewater Foods And Exports Private Limited,"425,000.00"
7,8,Gmr Gujarat Solar Power Limited,"300,000.00"
8,9,Ambuthirtha Power Private Limited,"200,000.00"
