,Telangana
Adilabad,1109868.0
Bhadradri Kothagudem,0.0
Hyderabad,277542728.03
Jagtial,0.0
Jangaon,0.0
Jayashankar,0.0
Jogulamba,0.0
Kamareddy,0.0
Karimnagar,96737105.0
Khammam,11671000.0
Komaram Bheem,0.0
Mahabubabad,0.0
Mahbubnagar,17272000.0
Mancherial,0.0
Medak,34694958.0
Medchal,0.0
Nagarkurnool,0.0
Nalgonda,18472832.0
Nirmal,0.0
Nizamabad,63000.0
Peddapalli,0.0
Rajanna Sircilla,0.0
Ranga Reddy,37481516.0
Sangareddy,0.0
Siddipet,0.0
Suryapet,0.0
Vikarabad,0.0
Wanaparthy,0.0
Warangal Rural,0.0
Warangal Urban,0.0
Yadadri Bhuvanagiri,0.0
