,SNo.,company,amount
0,1,Cyient Limited,"13,830,000.00"
1,2,Electronics Corporation Of India Limited,"7,031,000.00"
2,3,Aparna Constructions And Estates Private Limited,"6,125,000.00"
3,4,Aparna Infrahousing Private Limited (Part Ix ),"3,550,000.00"
4,5,Andhra Organics Limited,"2,418,516.00"
5,6,Granules India Limited,"2,097,000.00"
6,7,Sri Krishna Pharmaceuticals Limited,"1,821,000.00"
7,8,Rohini Minerals Private Limited,"380,000.00"
8,9,Posh Chemicals Private Limited,"200,000.00"
9,10,Sai Life Sciences Limited,"29,000.00"
