,Karnataka
Bagalkot,420000.0
Bangalore Rural,470364854.60999995
Bangalore Urban,752204444.14
Belgaum,3790000.0
Bellary,20125970.0
Bidar,0.0
Bijapur,15771000.0
Chamarajanagar,0.0
Chikkamagaluru,2981000.0
Chikkballapur,0.0
Chitradurga,117266.0
Dakshina Kannada,3366000.0
Davangere,0.0
Dharwad,2970000.0
Gadag,0.0
Gulbarga,15500000.0
Hassan,0.0
Haveri,0.0
Kodagu,0.0
Kolar,6063865.0
Koppal,3612114.0
Mandya,150498.0
Mysore,8096845.0
Raichur,11490500.0
Ramanagara,0.0
Shimoga,8536928.07
Tumkur,21067000.0
Udupi,21670353.0
Uttara Kannada,2716789.0
Yadgir,0.0
