,SNo.,company,amount
0,1,Bharat Heavy Electricals Limited,"2,144,100,000.00"
1,2,Abi-Showatech (India) Limited,"11,046,000.00"
2,3,Ifmr Capital Finance Private Limited,"1,957,130.00"
3,4,Sundaram Industries Private Limited,"388,000.00"
4,5,Power Grid Corporation Of India Limited,"325,000.00"
5,6,Sundaram Bnp Paribas Home Finance Limited,"200,000.00"
6,7,Sundaram Finance Limited,"100,000.00"
7,8,Stahl India Private Limited,"67,085.00"
8,9,Ramco Industries Limited,"49,000.00"
9,10,Itares Shoes Private Limited,0.00
